instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,178,1,argmax,1.0,1,0.0,0.6910939812660217,0.6878578066825867,0.6878578066825867,7752.51171875,-2752.51171875,2752.51171875
168335,1,237,1,argmax,0.10982626676559448,1,0.048093318939208984,0.9138312935829163,0.9167270660400391,0.964820384979248,10322.298828125,-5322.298828125,5322.298828125
168908,2,31,2,argmax,0.07607529312372208,2,0.12220710515975952,0.7107771039009094,0.7026163339614868,0.8248234391212463,5243.2890625,-243.289306640625,243.289306640625
189354,3,43,2,argmax,1.0,2,0.0,0.6954719424247742,0.7076098918914795,0.7076098918914795,13588.9208984375,-8588.9208984375,8588.9208984375
168908,4,52,2,argmax,1.0,2,0.0,0.8147648572921753,0.8215795755386353,0.8215795755386353,5301.2294921875,-301.2294921875,301.2294921875
168908,5,72,2,argmax,0.10431323945522308,2,0.05600684881210327,0.7690553665161133,0.7566797137260437,0.812686562538147,5051.02392578125,-51.02392578125,51.02392578125
168908,6,75,2,argmax,0.088557668030262,2,0.08655816316604614,0.7244037389755249,0.7204317450523376,0.8069899082183838,5551.90625,-551.906494140625,551.906494140625
168908,7,111,2,argmax,0.0750383734703064,2,0.12575912475585938,0.7162653803825378,0.7157625555992126,0.841521680355072,5042.3798828125,-42.379638671875,42.379638671875
189354,8,115,2,argmax,0.08111486583948135,2,0.10632163286209106,0.6175466775894165,0.6177206635475159,0.7240422964096069,5396.984375,-396.984375,396.984375
168908,9,134,2,argmax,1.0,2,0.0,0.7992456555366516,0.8038038611412048,0.8038038611412048,5103.86328125,-103.863037109375,103.863037109375
168908,10,138,2,argmax,1.0,2,0.0,0.800474226474762,0.7973387837409973,0.7973387837409973,5264.9833984375,-264.983154296875,264.983154296875
168908,11,212,2,argmax,0.10617366433143616,2,0.05320054292678833,0.7795087695121765,0.7741187214851379,0.8273192644119263,5974.625,-974.625,974.625
168908,12,25,3,argmax,0.141844242811203,3,0.019854962825775146,0.7932501435279846,0.7970681190490723,0.8169230818748474,7826.1611328125,-2826.161376953125,2826.161376953125
168908,13,28,3,argmax,0.13355347514152527,3,0.024966537952423096,0.7744106650352478,0.7807990908622742,0.8057656288146973,6376.0888671875,-1376.0889892578125,1376.0889892578125
168908,14,33,3,argmax,1.0,3,0.0,0.7683716416358948,0.7947272658348083,0.7947272658348083,6403.30908203125,-1403.30908203125,1403.30908203125
168908,15,34,3,argmax,0.08137200772762299,3,0.10556888580322266,0.7228270173072815,0.7200635671615601,0.8256324529647827,6148.3076171875,-1148.3077392578125,1148.3077392578125
168908,16,45,3,argmax,0.13269495964050293,3,0.02556586265563965,0.7709868550300598,0.7590460181236267,0.7846118807792664,5995.69140625,-995.69140625,995.69140625
168908,17,74,3,argmax,0.11759096384048462,3,0.03880685567855835,0.7854744791984558,0.77741539478302,0.8162222504615784,6158.36328125,-1158.363525390625,1158.363525390625
189354,18,77,3,argmax,0.12400370836257935,3,0.03250539302825928,0.7150755524635315,0.7284889221191406,0.7609943151473999,14005.0859375,-9005.0859375,9005.0859375
168908,19,84,3,argmax,0.15002994239330292,3,0.015835821628570557,0.8074468374252319,0.8121907114982605,0.828026533126831,7336.6005859375,-2336.600341796875,2336.600341796875
168908,20,89,3,argmax,0.08541443943977356,3,0.09441190958023071,0.7391220927238464,0.7258273363113403,0.820239245891571,5360.3662109375,-360.366455078125,360.366455078125
189354,21,125,3,argmax,0.09155036509037018,3,0.07968848943710327,0.7006083130836487,0.7008067965507507,0.780495285987854,8206.6904296875,-3206.690673828125,3206.690673828125
168908,22,141,3,argmax,0.10106172412633896,3,0.061271607875823975,0.736204981803894,0.7435417175292969,0.8048133254051208,6210.63623046875,-1210.6363525390625,1210.6363525390625
168908,23,149,3,argmax,0.08721551299095154,3,0.08982843160629272,0.7354916334152222,0.7334578633308411,0.8232862949371338,5973.19287109375,-973.19287109375,973.19287109375
168908,24,177,3,argmax,0.11033883690834045,3,0.04741698503494263,0.7382856607437134,0.7481808662414551,0.7955978512763977,6987.9716796875,-1987.9716796875,1987.9716796875
168908,25,180,3,argmax,0.0759531557559967,3,0.12262022495269775,0.7300233244895935,0.7210325002670288,0.8436527252197266,5187.40625,-187.40625,187.40625
168908,26,194,3,argmax,0.09252358227968216,3,0.07757413387298584,0.7329339981079102,0.7381157875061035,0.8156899213790894,7093.38818359375,-2093.38818359375,2093.38818359375
168908,27,205,3,argmax,0.16616752743721008,3,0.010138869285583496,0.7775008678436279,0.7843156456947327,0.7944545149803162,7804.66845703125,-2804.66845703125,2804.66845703125
189354,28,214,3,argmax,0.11034593731164932,3,0.047407686710357666,0.6526482105255127,0.6468361616134644,0.694243848323822,9596.2685546875,-4596.2685546875,4596.2685546875
168908,29,236,3,argmax,0.15375402569770813,3,0.014287352561950684,0.7829968929290771,0.799019455909729,0.8133068084716797,7398.921875,-2398.921875,2398.921875
168908,30,253,3,argmax,0.09369468688964844,3,0.07510411739349365,0.7271311283111572,0.7254896759986877,0.8005937933921814,6182.86669921875,-1182.86669921875,1182.86669921875
168908,31,254,3,argmax,0.10384134203195572,3,0.05674189329147339,0.7443777322769165,0.7431589365005493,0.7999008297920227,6027.841796875,-1027.842041015625,1027.842041015625
168908,32,17,4,argmax,0.09575790166854858,4,0.07094228267669678,0.7352331280708313,0.7315564155578613,0.8024986982345581,6217.2265625,-1217.2266845703125,1217.2266845703125
189354,33,57,4,argmax,0.2422858029603958,4,0.0012375712394714355,0.7154366970062256,0.7139382362365723,0.7151758074760437,5010.48828125,-10.48822021484375,10.48822021484375
168908,34,99,4,argmax,0.08951184153556824,4,0.08430588245391846,0.7344640493392944,0.722690224647522,0.8069961071014404,5628.63623046875,-628.63623046875,628.63623046875
189354,35,132,4,argmax,0.113490030169487,4,0.04346299171447754,0.6479906439781189,0.6384862661361694,0.681949257850647,5161.6416015625,-161.64178466796875,161.64178466796875
168908,36,151,4,argmax,0.0976085439324379,4,0.0674058198928833,0.7290173768997192,0.7372110486030579,0.8046168684959412,5124.29931640625,-124.29930114746094,124.29930114746094
189354,37,154,4,argmax,0.07012300938367844,4,0.14405351877212524,0.6127029061317444,0.6117852330207825,0.7558387517929077,5307.18505859375,-307.18524169921875,307.18524169921875
168908,38,159,4,argmax,0.08356746286153793,4,0.09935516119003296,0.7428581118583679,0.726025402545929,0.8253805637359619,5275.873046875,-275.872802734375,275.872802734375
168908,39,172,4,argmax,0.08426553755998611,4,0.09745711088180542,0.7205209732055664,0.7139191627502441,0.8113762736320496,6513.89111328125,-1513.89111328125,1513.89111328125
189354,40,197,4,argmax,0.0767587199807167,4,0.11992102861404419,0.6010306477546692,0.5924719572067261,0.7123929858207703,5285.13037109375,-285.13043212890625,285.13043212890625
189354,41,216,4,argmax,0.10256092250347137,4,0.058785319328308105,0.6587790846824646,0.6649104356765747,0.7236957550048828,5417.443359375,-417.4434814453125,417.4434814453125
189354,42,218,4,argmax,1.0,4,0.0,0.7327000498771667,0.7215222120285034,0.7215222120285034,5248.046875,-248.047119140625,248.047119140625
168908,43,221,4,argmax,0.08886979520320892,4,0.08581483364105225,0.7142759561538696,0.723592221736908,0.8094070553779602,6713.26806640625,-1713.2679443359375,1713.2679443359375
189354,44,232,4,argmax,0.09418588131666183,4,0.07409167289733887,0.6484085917472839,0.654212474822998,0.7283041477203369,5216.26318359375,-216.26336669921875,216.26336669921875
168335,45,233,4,argmax,0.10257545858621597,4,0.05876171588897705,0.8661738038063049,0.8566409349441528,0.9154026508331299,9044.38671875,-4044.38720703125,4044.38720703125
189354,46,239,4,argmax,1.0,4,0.0,0.7022609114646912,0.7023603916168213,0.7023603916168213,5177.47314453125,-177.47329711914062,177.47329711914062
168908,47,8,5,argmax,0.15135861933231354,5,0.01526498794555664,0.7357316613197327,0.7395235300064087,0.7547885179519653,5011.17431640625,-11.174468994140625,11.174468994140625
189354,48,32,5,argmax,0.16454574465751648,5,0.010603547096252441,0.6987871527671814,0.6947021484375,0.7053056955337524,6980.00244140625,-1980.0023193359375,1980.0023193359375
189354,49,63,5,argmax,0.14455243945121765,5,0.01842343807220459,0.6921722888946533,0.6938282251358032,0.7122516632080078,9160.158203125,-4160.15771484375,4160.15771484375
189354,50,94,5,argmax,0.1344250589609146,5,0.024372458457946777,0.7113631963729858,0.7062440514564514,0.7306165099143982,5320.982421875,-320.982421875,320.982421875
189354,51,96,5,argmax,0.07920622825622559,5,0.11207926273345947,0.6118312478065491,0.6233187913894653,0.7353980541229248,5696.01123046875,-696.0111083984375,696.0111083984375
168335,52,249,5,argmax,0.1590617597103119,5,0.012338399887084961,0.8806359171867371,0.8910544514656067,0.9033928513526917,8431.6328125,-3431.63330078125,3431.63330078125
168335,53,1,6,argmax,0.08627589792013168,6,0.09219115972518921,0.8712372183799744,0.8616979718208313,0.9538891315460205,5581.13671875,-581.13671875,581.13671875
189354,54,88,6,argmax,0.08170323073863983,6,0.10460710525512695,0.6725074052810669,0.6717903017997742,0.7763974070549011,5232.3974609375,-232.397216796875,232.397216796875
189354,55,92,6,argmax,0.07305075228214264,6,0.1328589916229248,0.6278287768363953,0.6358466744422913,0.7687056660652161,5243.353515625,-243.353759765625,243.353759765625
189354,56,99,6,argmax,0.10977418720722198,2,0.04816257953643799,0.6492805480957031,0.6450042128562927,0.6931667923927307,15439.431640625,-10439.431640625,10439.431640625
189354,57,189,6,argmax,0.11617722362279892,6,0.04035276174545288,0.6585817337036133,0.672947108745575,0.7132998704910278,5202.328125,-202.32821655273438,202.32821655273438
189354,58,225,6,argmax,0.1950022131204605,6,0.004570603370666504,0.7118946313858032,0.7205897569656372,0.7251603603363037,5101.982421875,-101.9822998046875,101.9822998046875
189354,59,19,7,argmax,0.12476752698421478,7,0.031826555728912354,0.684914231300354,0.6846052408218384,0.7164317965507507,5405.10986328125,-405.10968017578125,405.10968017578125
189354,60,56,7,argmax,0.10352306813001633,7,0.05724310874938965,0.6708559989929199,0.6711346507072449,0.7283777594566345,5939.05224609375,-939.0521850585938,939.0521850585938
189354,61,78,7,argmax,0.14444862306118011,7,0.018476366996765137,0.6745406985282898,0.67630934715271,0.6947857141494751,5455.66064453125,-455.66082763671875,455.66082763671875
189354,62,203,7,argmax,0.12780511379241943,7,0.029264330863952637,0.6997540593147278,0.6976991891860962,0.7269635200500488,5111.08837890625,-111.08837890625,111.08837890625
189354,63,217,7,argmax,0.08991001546382904,7,0.08338344097137451,0.6264705657958984,0.634414792060852,0.7177982330322266,6453.52001953125,-1453.52001953125,1453.52001953125
189354,64,237,7,argmax,0.12900295853614807,6,0.028311610221862793,0.7238422632217407,0.7310109734535217,0.7593225836753845,5174.3623046875,-174.36248779296875,174.36248779296875
189354,65,195,8,argmax,0.10762026160955429,8,0.051115989685058594,0.6212218403816223,0.6326227784156799,0.6837387681007385,5490.08447265625,-490.0845947265625,490.0845947265625
168335,66,228,8,argmax,0.15691787004470825,8,0.01309138536453247,0.9310137033462524,0.9262885451316833,0.9393799304962158,5649.54345703125,-649.5433349609375,649.5433349609375
168335,67,241,8,argmax,0.1240372434258461,8,0.032475292682647705,0.8954627513885498,0.8900013566017151,0.9224766492843628,5953.45166015625,-953.45166015625,953.45166015625
168335,68,244,8,argmax,0.13606998324394226,8,0.023289501667022705,0.9044189453125,0.8981356024742126,0.9214251041412354,5634.38232421875,-634.3822021484375,634.3822021484375
189354,69,33,9,argmax,0.11549190431833267,6,0.041124165058135986,0.6622885465621948,0.6755359172821045,0.7166600823402405,12798.177734375,-7798.17822265625,7798.17822265625
168331,70,104,9,argmax,0.08753658831119537,9,0.0890350341796875,0.5335268378257751,0.5391042232513428,0.6281392574310303,5498.2177734375,-498.21759033203125,498.21759033203125
168335,71,105,9,argmax,0.15010876953601837,9,0.01580137014389038,0.8995321989059448,0.8961403369903564,0.9119417071342468,5064.07275390625,-64.07273864746094,64.07273864746094
189354,72,172,9,argmax,0.08137602359056473,5,0.1055571436882019,0.6199049353599548,0.6199573874473572,0.7255145311355591,5528.06982421875,-528.0697021484375,528.0697021484375
168910,73,41,10,argmax,1.0,10,0.0,0.8057520985603333,0.7977373003959656,0.7977373003959656,5114.71435546875,-114.71415710449219,114.71415710449219
168910,74,120,10,argmax,1.0,10,0.0,0.6764250993728638,0.6761404275894165,0.6761404275894165,5788.08056640625,-788.08056640625,788.08056640625
168910,75,134,10,argmax,1.0,8,0.0,0.8077653646469116,0.7947363257408142,0.7947363257408142,5105.03369140625,-105.0338134765625,105.0338134765625
168910,76,2,11,argmax,0.1382092535495758,11,0.02195274829864502,0.7327638864517212,0.7244677543640137,0.7464205026626587,5260.986328125,-260.98626708984375,260.98626708984375
168335,77,179,11,argmax,1.0,11,0.0,0.9455816745758057,0.9365103840827942,0.9365103840827942,5070.17822265625,-70.1781005859375,70.1781005859375
168335,78,219,11,argmax,0.15022334456443787,11,0.015751421451568604,0.8856269717216492,0.8837797045707703,0.8995311260223389,7419.4091796875,-2419.408935546875,2419.408935546875
168331,79,14,12,argmax,0.1635129153728485,12,0.010910511016845703,0.5312833189964294,0.5210487842559814,0.5319592952728271,5469.3203125,-469.320068359375,469.320068359375
168335,80,58,12,argmax,0.1301623284816742,12,0.02741903066635132,0.8961398601531982,0.8988553881645203,0.9262744188308716,8716.65234375,-3716.65185546875,3716.65185546875
168331,81,65,12,argmax,1.0,12,0.0,0.6708808541297913,0.673814058303833,0.673814058303833,5405.380859375,-405.380859375,405.380859375
168335,82,106,12,argmax,0.1439259797334671,12,0.018745124340057373,0.9037862420082092,0.9141568541526794,0.9329019784927368,5054.830078125,-54.830322265625,54.830322265625
168331,83,109,12,argmax,1.0,12,0.0,0.5805236101150513,0.5709343552589417,0.5709343552589417,9692.4248046875,-4692.4248046875,4692.4248046875
168910,84,122,12,argmax,0.15579567849636078,12,0.013503670692443848,0.6660079956054688,0.6606703996658325,0.6741740703582764,5128.10888671875,-128.10867309570312,128.10867309570312
168335,85,206,12,argmax,0.11714974045753479,12,0.03928285837173462,0.9018591046333313,0.8982212543487549,0.9375041127204895,5376.94091796875,-376.9408264160156,376.9408264160156
168910,86,213,12,argmax,0.1560523360967636,12,0.013408243656158447,0.670020341873169,0.6678935885429382,0.6813018321990967,5331.9033203125,-331.90350341796875,331.90350341796875
168335,87,18,13,argmax,0.12627306580543518,13,0.03052973747253418,0.9062554240226746,0.8948934674263,0.9254232048988342,9153.755859375,-4153.75634765625,4153.75634765625
168331,88,95,13,argmax,1.0,13,0.0,0.692162036895752,0.6827926635742188,0.6827926635742188,5190.978515625,-190.9784698486328,190.9784698486328
168910,89,103,13,argmax,1.0,13,0.0,0.6955592036247253,0.6976712942123413,0.6976712942123413,5095.78466796875,-95.78485107421875,95.78485107421875
168910,90,123,13,argmax,0.09643275290727615,13,0.06963169574737549,0.6368828415870667,0.6543884873390198,0.7240201830863953,6184.890625,-1184.890869140625,1184.890869140625
168910,91,137,13,argmax,1.0,13,0.0,0.7085520625114441,0.6981638073921204,0.6981638073921204,5091.5791015625,-91.57919311523438,91.57919311523438
168910,92,161,13,argmax,1.0,13,0.0,0.6994205713272095,0.6992005705833435,0.6992005705833435,5466.57666015625,-466.5768737792969,466.5768737792969
168910,93,164,13,argmax,1.0,13,0.0,0.6880947947502136,0.6943842172622681,0.6943842172622681,5021.38427734375,-21.38433837890625,21.38433837890625
168335,94,184,13,argmax,0.17842760682106018,13,0.007225513458251953,0.9118582606315613,0.9114199876785278,0.9186455011367798,7929.10009765625,-2929.10009765625,2929.10009765625
168910,95,200,13,argmax,0.1526005119085312,13,0.014750063419342041,0.6763876080513,0.6707724928855896,0.6855225563049316,5057.748046875,-57.748046875,57.748046875
168335,96,208,13,argmax,0.21620795130729675,13,0.002543926239013672,0.9201002717018127,0.9097700715065002,0.9123139977455139,5032.9267578125,-32.92668151855469,32.92668151855469
168910,97,215,13,argmax,1.0,13,0.0,0.684853732585907,0.6801722049713135,0.6801722049713135,5451.14013671875,-451.14031982421875,451.14031982421875
168910,98,240,13,argmax,0.13913817703723907,13,0.0213964581489563,0.6435657143592834,0.6530219316482544,0.6744183897972107,5315.8828125,-315.88262939453125,315.88262939453125
168335,99,251,13,argmax,1.0,13,0.0,0.9420902729034424,0.9393154978752136,0.9393154978752136,7228.6962890625,-2228.6962890625,2228.6962890625
168335,100,34,14,argmax,0.11352503299713135,2,0.04342097043991089,0.9238944053649902,0.9164508581161499,0.9598718285560608,5038.046875,-38.046722412109375,38.046722412109375
168910,101,46,14,argmax,0.2523694336414337,14,0.0009366273880004883,0.6595895886421204,0.6613083481788635,0.662244975566864,5080.35302734375,-80.35302734375,80.35302734375
168335,102,102,14,argmax,0.13280846178531647,14,0.0254858136177063,0.905889630317688,0.8849300146102905,0.9104158282279968,7542.8173828125,-2542.817138671875,2542.817138671875
168910,103,110,14,argmax,1.0,14,0.0,0.6662846803665161,0.6804706454277039,0.6804706454277039,6163.35400390625,-1163.3538818359375,1163.3538818359375
168910,104,116,14,argmax,1.0,14,0.0,0.7435933947563171,0.7216860055923462,0.7216860055923462,5261.18359375,-261.18341064453125,261.18341064453125
168910,105,130,14,argmax,0.17252212762832642,14,0.008506178855895996,0.6688842177391052,0.673521101474762,0.682027280330658,5634.8955078125,-634.8956298828125,634.8956298828125
168910,106,191,14,argmax,1.0,14,0.0,0.6808881759643555,0.674960196018219,0.674960196018219,5076.578125,-76.578369140625,76.578369140625
168335,107,9,15,argmax,0.12223581969738007,15,0.03413265943527222,0.8845581412315369,0.8809522390365601,0.9150848984718323,5159.2275390625,-159.2276611328125,159.2276611328125
168910,108,16,15,argmax,0.14568573236465454,15,0.017855465412139893,0.6820555329322815,0.6722390055656433,0.6900944709777832,5271.712890625,-271.7131042480469,271.7131042480469
168868,109,31,15,argmax,0.2327488660812378,13,0.0016106963157653809,1.0,0.9950522780418396,0.996662974357605,5001.6767578125,-1.67657470703125,1.67657470703125
168910,110,36,15,argmax,0.12586618959903717,15,0.030874907970428467,0.6679900288581848,0.6637371182441711,0.6946120262145996,5663.58544921875,-663.5853881835938,663.5853881835938
168335,111,39,15,argmax,0.10344758629798889,15,0.05736261606216431,0.8863112330436707,0.8696929812431335,0.9270555973052979,5171.39990234375,-171.4001007080078,171.4001007080078
168910,112,112,15,argmax,1.0,15,0.0,0.7139326930046082,0.7066172957420349,0.7066172957420349,5420.94189453125,-420.9420471191406,420.9420471191406
168868,113,158,15,argmax,0.1895279586315155,15,0.005316972732543945,1.0,0.9893861413002014,0.9947031140327454,5349.791015625,-349.7908630371094,349.7908630371094
168331,114,205,15,argmax,1.0,12,0.0,0.7041311264038086,0.7120832800865173,0.7120832800865173,5059.9990234375,-59.99884033203125,59.99884033203125
168331,115,207,15,argmax,0.18231597542762756,15,0.006489455699920654,0.5869289636611938,0.5812585949897766,0.5877480506896973,5042.19091796875,-42.19078063964844,42.19078063964844
168868,116,209,15,argmax,0.17602689564228058,15,0.007721066474914551,1.0,0.9883110523223877,0.9960321187973022,5093.98486328125,-93.98504638671875,93.98504638671875
168331,117,226,15,argmax,1.0,15,0.0,0.5416425466537476,0.5449837446212769,0.5449837446212769,6628.7626953125,-1628.7626953125,1628.7626953125
168910,118,253,15,argmax,1.0,12,0.0,0.6745969653129578,0.6758310198783875,0.6758310198783875,5331.3681640625,-331.367919921875,331.367919921875
168331,119,27,16,argmax,0.13473723828792572,16,0.024163126945495605,0.5220235586166382,0.5417935848236084,0.565956711769104,5862.03125,-862.0311279296875,862.0311279296875
168331,120,50,16,argmax,0.22596296668052673,16,0.0019428730010986328,0.5555939078330994,0.544908881187439,0.5468517541885376,5084.435546875,-84.4354248046875,84.4354248046875
168910,121,80,16,argmax,0.1838831603527069,16,0.006214439868927002,0.6862062215805054,0.6816722750663757,0.6878867149353027,5259.0185546875,-259.0184326171875,259.0184326171875
168331,122,81,16,argmax,0.10405125468969345,16,0.056413739919662476,0.5046977996826172,0.49308010935783386,0.5494938492774963,9585.0126953125,-4585.0126953125,4585.0126953125
168868,123,115,16,argmax,0.14931896328926086,14,0.01614999771118164,0.997323215007782,0.9801823496818542,0.9963323473930359,5152.3994140625,-152.3994140625,152.3994140625
168331,124,129,16,argmax,0.09091199189424515,16,0.08110657334327698,0.48782601952552795,0.4987877309322357,0.5798943042755127,5675.03173828125,-675.0318603515625,675.0318603515625
168331,125,132,16,argmax,1.0,12,0.0,0.6568593978881836,0.6394174098968506,0.6394174098968506,7078.8134765625,-2078.813720703125,2078.813720703125
168335,126,136,16,argmax,0.10377833247184753,16,0.05684077739715576,0.8834868669509888,0.8841100931167603,0.940950870513916,7112.9033203125,-2112.9033203125,2112.9033203125
