instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,203,1,sample,0.0700545459985733,1,0.14432626962661743,0.6353062391281128,0.6474928855895996,0.791819155216217,6147.7578125,-1147.7578125,1147.7578125
189354,1,216,1,sample,0.06977419555187225,1,0.14544862508773804,0.5972073078155518,0.5898470282554626,0.7352956533432007,7753.86181640625,-2753.86181640625,2753.86181640625
168335,2,228,1,sample,0.11460007727146149,1,0.042150139808654785,0.8841900825500488,0.8897026777267456,0.9318528175354004,5282.95166015625,-282.95166015625,282.95166015625
168908,3,8,2,sample,0.09647422283887863,2,0.06955194473266602,0.7483932971954346,0.7328090667724609,0.802361011505127,5253.7548828125,-253.7548828125,253.7548828125
189354,4,19,2,sample,0.11051692813634872,2,0.04718422889709473,0.6649342775344849,0.6564674377441406,0.7036516666412354,5209.8828125,-209.88287353515625,209.88287353515625
168908,5,28,2,sample,0.13155822455883026,2,0.026381611824035645,0.7958990335464478,0.7913240194320679,0.8177056312561035,5115.330078125,-115.330078125,115.330078125
168908,6,45,2,sample,0.11955346912145615,2,0.03675854206085205,0.7751665115356445,0.7663925290107727,0.8031510710716248,5274.51708984375,-274.51708984375,274.51708984375
168908,7,75,2,sample,0.09588172286748886,2,0.07069998979568481,0.7502719163894653,0.7319303750991821,0.8026303648948669,5598.5546875,-598.554443359375,598.554443359375
168908,8,99,2,sample,0.1664164662361145,2,0.01006937026977539,0.7685515880584717,0.7810523509979248,0.7911217212677002,5557.35205078125,-557.35205078125,557.35205078125
168908,9,111,2,sample,0.10276324301958084,2,0.05845761299133301,0.7286553978919983,0.7465429902076721,0.8050006031990051,6285.33544921875,-1285.33544921875,1285.33544921875
189354,10,125,2,sample,0.07872556895017624,2,0.11357772350311279,0.5926006436347961,0.5882617235183716,0.7018394470214844,5679.0693359375,-679.0693359375,679.0693359375
168908,11,134,2,sample,0.11264079064130783,2,0.04449492692947388,0.7912749648094177,0.785831093788147,0.8303260207176208,5616.06640625,-616.066162109375,616.066162109375
168908,12,149,2,sample,0.0979800820350647,2,0.06671738624572754,0.7453181147575378,0.7317140698432922,0.7984314560890198,5580.0927734375,-580.093017578125,580.093017578125
168908,13,159,2,sample,0.11242178082466125,2,0.04476499557495117,0.7587372660636902,0.769547700881958,0.8143126964569092,5944.8359375,-944.836181640625,944.836181640625
168908,14,172,2,sample,0.1269664764404297,2,0.029950380325317383,0.7803911566734314,0.7962870597839355,0.8262374401092529,6285.34765625,-1285.347900390625,1285.347900390625
168908,15,180,2,sample,0.08607901632785797,2,0.09269404411315918,0.7292404770851135,0.7184748649597168,0.811168909072876,5065.9697265625,-65.969970703125,65.969970703125
189354,16,197,2,sample,0.08658301830291748,2,0.09141212701797485,0.63599693775177,0.6300963759422302,0.7215085029602051,12601.6005859375,-7601.6005859375,7601.6005859375
168908,17,236,2,sample,1.0,2,0.0,0.8182366490364075,0.79900723695755,0.79900723695755,5481.9697265625,-481.9697265625,481.9697265625
168908,18,17,3,sample,0.13312803208827972,3,0.025261759757995605,0.790367066860199,0.786690354347229,0.8119521141052246,5593.697265625,-593.697509765625,593.697509765625
168908,19,25,3,sample,0.08791229873895645,3,0.08811551332473755,0.7357167601585388,0.7378792762756348,0.8259947896003723,6003.5126953125,-1003.512939453125,1003.512939453125
168908,20,31,3,sample,0.1486586481332779,3,0.016447365283966064,0.7956904768943787,0.8083949089050293,0.8248422741889954,5694.6181640625,-694.6181640625,694.6181640625
189354,21,32,3,sample,0.10897380858659744,3,0.04923957586288452,0.6806157827377319,0.6657111644744873,0.7149507403373718,5310.25048828125,-310.25048828125,310.25048828125
168908,22,52,3,sample,0.10435250401496887,3,0.05594611167907715,0.7754200100898743,0.7649379968643188,0.820884108543396,7718.568359375,-2718.568115234375,2718.568115234375
168908,23,72,3,sample,0.09190921485424042,3,0.0789022445678711,0.721072256565094,0.7232720851898193,0.8021743297576904,7876.658203125,-2876.657958984375,2876.657958984375
168908,24,89,3,sample,1.0,3,0.0,0.7971319556236267,0.7973570227622986,0.7973570227622986,7415.59033203125,-2415.59033203125,2415.59033203125
189354,25,92,3,sample,0.08906277269124985,3,0.08535850048065186,0.6435685157775879,0.6339309215545654,0.7192894220352173,5694.82421875,-694.824462890625,694.824462890625
189354,26,96,3,sample,0.09070783853530884,3,0.08156538009643555,0.6377918124198914,0.6301444172859192,0.7117097973823547,5100.44970703125,-100.44952392578125,100.44952392578125
168908,27,138,3,sample,0.09701687842607498,3,0.06851685047149658,0.7618540525436401,0.7597528696060181,0.8282697200775146,6210.4228515625,-1210.423095703125,1210.423095703125
168908,28,141,3,sample,0.09008610248565674,3,0.08297872543334961,0.728675127029419,0.7328761219978333,0.8158548474311829,5798.048828125,-798.048828125,798.048828125
168908,29,151,3,sample,0.07694645971059799,3,0.11930054426193237,0.734384298324585,0.7285625338554382,0.8478630781173706,6153.68896484375,-1153.68896484375,1153.68896484375
168908,30,177,3,sample,0.11722356826066971,3,0.03920280933380127,0.7951230406761169,0.7934640645980835,0.8326668739318848,6875.9736328125,-1875.973388671875,1875.973388671875
168908,31,182,3,sample,0.08175083994865417,3,0.10446959733963013,0.721571147441864,0.7154349684715271,0.8199045658111572,6023.693359375,-1023.693603515625,1023.693603515625
168908,32,199,3,sample,0.18468551337718964,3,0.006078183650970459,0.7952353358268738,0.8012874126434326,0.8073655962944031,5832.8603515625,-832.860595703125,832.860595703125
168908,33,205,3,sample,1.0,3,0.0,0.8133111596107483,0.8152264356613159,0.8152264356613159,6574.96435546875,-1574.96435546875,1574.96435546875
168908,34,212,3,sample,0.10801965743303299,3,0.05055499076843262,0.7417879104614258,0.7484035491943359,0.7989585399627686,7478.2509765625,-2478.250732421875,2478.250732421875
168908,35,221,3,sample,0.08531343191862106,3,0.09467577934265137,0.7295096516609192,0.73492830991745,0.8296040892601013,5496.412109375,-496.412109375,496.412109375
168908,36,253,3,sample,1.0,3,0.0,0.8219652771949768,0.8104234933853149,0.8104234933853149,7436.013671875,-2436.013671875,2436.013671875
