instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,63,1,argmax,2.0869007110595703,1,0.12407106161117554,0.6629360318183899,0.6720671653747559,0.7961382269859314,6056.23291015625,-1056.23291015625,1056.23291015625
189354,1,94,1,argmax,2.319099187850952,1,0.09836214780807495,0.6214824318885803,0.6360504627227783,0.7344126105308533,9066.697265625,-4066.697265625,4066.697265625
168335,2,179,1,argmax,2.94287109375,1,0.05271416902542114,0.8798508048057556,0.8746103048324585,0.9273244738578796,7287.58837890625,-2287.58837890625,2287.58837890625
168335,3,208,1,argmax,2.3555479049682617,1,0.09484153985977173,0.8545159697532654,0.8590986132621765,0.9539401531219482,7505.13671875,-2505.13671875,2505.13671875
168335,4,219,1,argmax,2.622894525527954,1,0.07259243726730347,0.8548248410224915,0.8500425815582275,0.922635018825531,14752.744140625,-9752.744140625,9752.744140625
189354,5,32,2,argmax,3.0745630264282227,2,0.04620981216430664,0.7230112552642822,0.7005795836448669,0.7467893958091736,6489.375,-1489.375,1489.375
168908,6,45,2,argmax,2.7674548625946045,2,0.06282168626785278,0.7471593022346497,0.7490746974945068,0.8118963837623596,5500.201171875,-500.201171875,500.201171875
168908,7,75,2,argmax,2.1865227222442627,2,0.11230659484863281,0.7230936288833618,0.730349063873291,0.8426556587219238,5649.7451171875,-649.745361328125,649.745361328125
189354,8,77,2,argmax,2.6919021606445312,2,0.067751944065094,0.6714140176773071,0.665679395198822,0.733431339263916,5064.42138671875,-64.42138671875,64.42138671875
189354,9,96,2,argmax,3.729212760925293,2,0.024011731147766113,0.6795600652694702,0.6900668144226074,0.7140785455703735,5725.22900390625,-725.22900390625,725.22900390625
168908,10,159,2,argmax,3.1810302734375,2,0.04154282808303833,0.7827239036560059,0.7795104384422302,0.8210532665252686,6077.19677734375,-1077.19677734375,1077.19677734375
168908,11,199,2,argmax,3.5541722774505615,2,0.02860504388809204,0.7935841679573059,0.810986340045929,0.839591383934021,5413.94189453125,-413.94189453125,413.94189453125
168908,12,221,2,argmax,2.408679962158203,2,0.08993393182754517,0.759767472743988,0.7502757906913757,0.8402097225189209,5963.3505859375,-963.3505859375,963.3505859375
168335,13,9,3,argmax,27.63102149963379,3,0.0,0.9386849403381348,0.9304710626602173,0.9304710626602173,5243.9111328125,-243.9111328125,243.9111328125
168908,14,28,3,argmax,3.544477939605713,3,0.028883695602416992,0.7813398838043213,0.7771648168563843,0.8060485124588013,5544.2958984375,-544.295654296875,544.295654296875
168908,15,31,3,argmax,2.6900546550750732,3,0.06787723302841187,0.7481513023376465,0.7399905323982239,0.8078677654266357,7114.208984375,-2114.208740234375,2114.208740234375
168908,16,33,3,argmax,27.63102149963379,3,0.0,0.8363311886787415,0.8343042731285095,0.8343042731285095,6239.1171875,-1239.1171875,1239.1171875
168908,17,52,3,argmax,4.225666046142578,3,0.01461559534072876,0.8151971697807312,0.8077259659767151,0.8223415613174438,5475.5498046875,-475.5498046875,475.5498046875
189354,18,57,3,argmax,2.2301905155181885,3,0.10750794410705566,0.5995397567749023,0.5968876481056213,0.704395592212677,9254.4501953125,-4254.4501953125,4254.4501953125
168908,19,72,3,argmax,27.63102149963379,3,0.0,0.8422012329101562,0.8350875973701477,0.8350875973701477,5952.1513671875,-952.151611328125,952.151611328125
189354,20,92,3,argmax,1.8816502094268799,3,0.15233850479125977,0.6143950819969177,0.6145687699317932,0.766907274723053,9344.85546875,-4344.85498046875,4344.85498046875
168908,21,99,3,argmax,3.116793155670166,3,0.04429900646209717,0.744472324848175,0.7426615357398987,0.7869605422019958,5945.43603515625,-945.4359130859375,945.4359130859375
168908,22,111,3,argmax,3.8591301441192627,3,0.02108633518218994,0.783469557762146,0.7719056606292725,0.7929919958114624,5860.8798828125,-860.879638671875,860.879638671875
168908,23,134,3,argmax,3.4298503398895264,3,0.03239178657531738,0.7957021594047546,0.7919158339500427,0.8243076205253601,5530.857421875,-530.857177734375,530.857177734375
168908,24,141,3,argmax,5.510492324829102,3,0.0040441155433654785,0.7932602763175964,0.7938758134841919,0.7979199290275574,7483.55224609375,-2483.55224609375,2483.55224609375
168908,25,149,3,argmax,27.63102149963379,3,0.0,0.8162819743156433,0.8257647752761841,0.8257647752761841,5846.552734375,-846.552978515625,846.552978515625
168331,26,152,3,argmax,1.4356216192245483,3,0.23796740174293518,0.4288845956325531,0.43030592799186707,0.6682733297348022,6927.26220703125,-1927.26220703125,1927.26220703125
168908,27,180,3,argmax,27.63102149963379,3,0.0,0.8589799404144287,0.8431733846664429,0.8431733846664429,7840.083984375,-2840.083984375,2840.083984375
168908,28,182,3,argmax,3.11240291595459,3,0.044493913650512695,0.7590262293815613,0.7559685707092285,0.8004624843597412,5518.95263671875,-518.95263671875,518.95263671875
168908,29,194,3,argmax,27.63102149963379,3,0.0,0.7940236926078796,0.799205482006073,0.799205482006073,5261.00341796875,-261.00341796875,261.00341796875
189354,30,203,3,argmax,3.2317020893096924,3,0.0394902229309082,0.6615411043167114,0.6548516750335693,0.6943418979644775,7758.18310546875,-2758.18310546875,2758.18310546875
189354,31,214,3,argmax,2.79520320892334,3,0.061102449893951416,0.6605373024940491,0.672342836856842,0.7334452867507935,6024.275390625,-1024.275146484375,1024.275146484375
168335,32,224,3,argmax,3.5071470737457275,3,0.029982328414916992,0.8673064112663269,0.8799681663513184,0.9099504947662354,8945.771484375,-3945.771484375,3945.771484375
168908,33,8,4,argmax,3.2259950637817383,4,0.039716243743896484,0.7930828332901001,0.8046383857727051,0.8443546295166016,7521.91015625,-2521.91015625,2521.91015625
168908,34,17,4,argmax,6.0778985023498535,4,0.0022929906845092773,0.8052924275398254,0.8035433292388916,0.8058363199234009,7558.1279296875,-2558.127685546875,2558.127685546875
168908,35,25,4,argmax,4.239368438720703,4,0.014416694641113281,0.7967551946640015,0.7955431938171387,0.809959888458252,5610.5224609375,-610.522216796875,610.522216796875
168908,36,34,4,argmax,2.911240577697754,4,0.05440819263458252,0.7215521931648254,0.7267707586288452,0.7811789512634277,7138.8076171875,-2138.8076171875,2138.8076171875
168335,37,58,4,argmax,2.3494133949279785,4,0.09542512893676758,0.8324792385101318,0.8283298015594482,0.9237549304962158,5813.93359375,-813.933349609375,813.933349609375
168908,38,74,4,argmax,2.974097728729248,4,0.05109351873397827,0.7675147652626038,0.767192542552948,0.8182860612869263,5008.314453125,-8.314208984375,8.314208984375
168908,39,89,4,argmax,27.63102149963379,4,0.0,0.823340892791748,0.8359194993972778,0.8359194993972778,5721.708984375,-721.708740234375,721.708740234375
168908,40,138,4,argmax,3.134705066680908,4,0.043512582778930664,0.7543933987617493,0.7604661583900452,0.8039787411689758,5972.86962890625,-972.86962890625,972.86962890625
168908,41,151,4,argmax,3.8865599632263184,4,0.020515799522399902,0.8125336170196533,0.8216642141342163,0.8421800136566162,7332.7001953125,-2332.7001953125,2332.7001953125
168910,42,165,4,argmax,1.7375195026397705,4,0.17595630884170532,0.506794273853302,0.5188174247741699,0.6947737336158752,5317.5380859375,-317.5380859375,317.5380859375
168908,43,172,4,argmax,3.5268826484680176,4,0.029396414756774902,0.7745797634124756,0.7696108222007751,0.79900723695755,6304.2353515625,-1304.235107421875,1304.235107421875
189354,44,195,4,argmax,2.810549736022949,4,0.06017190217971802,0.6425893902778625,0.6421844959259033,0.7023563981056213,6054.40283203125,-1054.4029541015625,1054.4029541015625
189354,45,197,4,argmax,27.63102149963379,4,0.0,0.7571597695350647,0.7534120082855225,0.7534120082855225,5976.10205078125,-976.10205078125,976.10205078125
168908,46,205,4,argmax,3.7299628257751465,4,0.023993730545043945,0.800689697265625,0.8032276630401611,0.8272213935852051,7416.1064453125,-2416.1064453125,2416.1064453125
168908,47,212,4,argmax,27.63102149963379,4,0.0,0.793531596660614,0.778877317905426,0.778877317905426,5649.00390625,-649.0040283203125,649.0040283203125
189354,48,216,4,argmax,3.269441843032837,4,0.03802764415740967,0.6619960069656372,0.6711090207099915,0.7091366648674011,5570.974609375,-570.974853515625,570.974853515625
168908,49,236,4,argmax,3.0855472087860107,4,0.04570502042770386,0.7771952748298645,0.768943190574646,0.8146482110023499,7307.263671875,-2307.263671875,2307.263671875
189354,50,239,4,argmax,3.1873459815979004,4,0.041281282901763916,0.6673814058303833,0.6627086400985718,0.7039899230003357,14628.3779296875,-9628.3779296875,9628.3779296875
168331,51,245,4,argmax,1.9093377590179443,4,0.14817848801612854,0.46309158205986023,0.4656241238117218,0.6138026118278503,5553.953125,-553.953369140625,553.953369140625
168908,52,254,4,argmax,27.63102149963379,4,0.0,0.8022724390029907,0.8025875091552734,0.8025875091552734,6534.2001953125,-1534.199951171875,1534.199951171875
168335,53,3,5,argmax,27.63102149963379,5,0.0,0.8996662497520447,0.9047965407371521,0.9047965407371521,5196.5830078125,-196.583251953125,196.583251953125
189354,54,19,5,argmax,3.3403239250183105,5,0.03542548418045044,0.656331479549408,0.6622790694236755,0.697704553604126,6892.35400390625,-1892.35400390625,1892.35400390625
168908,55,31,5,argmax,27.63102149963379,2,0.0,0.8429661393165588,0.8307854533195496,0.8307854533195496,5361.85009765625,-361.85009765625,361.85009765625
168335,56,45,5,argmax,3.901933193206787,3,0.020202815532684326,0.9152278304100037,0.918901264667511,0.9391040802001953,7674.5107421875,-2674.510986328125,2674.510986328125
168910,57,46,5,argmax,4.024988174438477,5,0.01786363124847412,0.6723483800888062,0.6750824451446533,0.6929460763931274,5360.01904296875,-360.0191650390625,360.0191650390625
168910,58,47,5,argmax,5.124689102172852,5,0.005948066711425781,0.6693788766860962,0.6637991070747375,0.6697471737861633,5023.9658203125,-23.9658203125,23.9658203125
189354,59,78,5,argmax,27.63102149963379,5,0.0,0.7134132981300354,0.7144790887832642,0.7144790887832642,5050.7060546875,-50.7060546875,50.7060546875
168910,60,103,5,argmax,1.7450289726257324,5,0.17463994026184082,0.5219197273254395,0.5396823883056641,0.7143223285675049,5276.63525390625,-276.6353759765625,276.6353759765625
168335,61,105,5,argmax,3.1778759956359863,5,0.04167407751083374,0.8915432095527649,0.8869848847389221,0.9286589622497559,7018.3935546875,-2018.3935546875,2018.3935546875
168335,62,113,5,argmax,4.44869327545166,5,0.011693835258483887,0.8816339373588562,0.8923436999320984,0.9040375351905823,9060.5986328125,-4060.5986328125,4060.5986328125
168335,63,128,5,argmax,2.204375743865967,5,0.11031937599182129,0.8215747475624084,0.819782555103302,0.9301019310951233,8274.2294921875,-3274.229736328125,3274.229736328125
189354,64,132,5,argmax,2.469359874725342,5,0.08463901281356812,0.663431704044342,0.6603151559829712,0.7449541687965393,5006.1220703125,-6.1221923828125,6.1221923828125
189354,65,189,5,argmax,2.8024697303771973,5,0.06066006422042847,0.6700250506401062,0.687567949295044,0.7482280135154724,11808.6005859375,-6808.6005859375,6808.6005859375
168910,66,200,5,argmax,0.9277246594429016,5,0.39545246958732605,0.29323622584342957,0.2955072820186615,0.6909597516059875,5542.45654296875,-542.4564208984375,542.4564208984375
189354,67,205,5,argmax,3.3866190910339355,1,0.033822834491729736,0.6905283331871033,0.6832994222640991,0.7171222567558289,6439.51318359375,-1439.51318359375,1439.51318359375
189354,68,217,5,argmax,27.63102149963379,5,0.0,0.6812311410903931,0.695366382598877,0.695366382598877,6022.91015625,-1022.9100952148438,1022.9100952148438
189354,69,218,5,argmax,2.0718495845794678,5,0.1259526014328003,0.6935606598854065,0.6929236054420471,0.8188762068748474,5456.30908203125,-456.30908203125,456.30908203125
189354,70,56,6,argmax,27.63102149963379,6,0.0,0.7266506552696228,0.7264977097511292,0.7264977097511292,5172.85205078125,-172.8521728515625,172.8521728515625
168910,71,68,6,argmax,2.442260265350342,6,0.08696407079696655,0.6289695501327515,0.6274399757385254,0.7144040465354919,5092.109375,-92.1094970703125,92.1094970703125
168910,72,80,6,argmax,3.0034446716308594,6,0.04961585998535156,0.6502559185028076,0.6281812191009521,0.6777970790863037,5096.7421875,-96.7420654296875,96.7420654296875
189354,73,88,6,argmax,1.9592289924621582,6,0.14096707105636597,0.6048823595046997,0.5951199531555176,0.7360870242118835,5174.62744140625,-174.62738037109375,174.62738037109375
189354,74,115,6,argmax,27.63102149963379,6,0.0,0.7420632243156433,0.7327908873558044,0.7327908873558044,5325.0859375,-325.086181640625,325.086181640625
168910,75,116,6,argmax,2.6696364879608154,6,0.06927740573883057,0.6162344813346863,0.6361426711082458,0.7054200768470764,5897.75634765625,-897.7564697265625,897.7564697265625
168910,76,130,6,argmax,1.840868592262268,6,0.1586795449256897,0.6299626231193542,0.6273358464241028,0.7860153913497925,5419.63134765625,-419.6314697265625,419.6314697265625
189354,77,154,6,argmax,2.669006109237671,6,0.06932109594345093,0.6278090476989746,0.6417130827903748,0.7110341787338257,8288.2265625,-3288.226318359375,3288.226318359375
168910,78,157,6,argmax,0.9356523752212524,6,0.3923298418521881,0.29420891404151917,0.29304102063179016,0.6853708624839783,5093.84814453125,-93.8480224609375,93.8480224609375
189354,79,225,6,argmax,2.0535898208618164,6,0.128273606300354,0.6142908930778503,0.6229860186576843,0.7512596249580383,5054.84765625,-54.847412109375,54.847412109375
