instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,19,1,argmax,0.07135801017284393,1,0.1392207145690918,0.5587974190711975,0.564601480960846,0.7038221955299377,7965.06103515625,-2965.06103515625,2965.06103515625
189354,1,78,1,argmax,0.1310906857252121,1,0.026724636554718018,0.6600960493087769,0.6573194265365601,0.6840440630912781,5354.6123046875,-354.6123046875,354.6123046875
189354,2,154,1,argmax,0.11814149469137192,1,0.038221001625061035,0.6712654829025269,0.6703478097915649,0.708568811416626,11094.197265625,-6094.197265625,6094.197265625
189354,3,178,1,argmax,0.08817832916975021,1,0.0874701738357544,0.6790439486503601,0.675807774066925,0.7632779479026794,11044.4580078125,-6044.4580078125,6044.4580078125
168335,4,219,1,argmax,0.0896979570388794,1,0.083873450756073,0.8315059542655945,0.8426942229270935,0.9265676736831665,7344.87158203125,-2344.87158203125,2344.87158203125
168908,5,8,2,argmax,0.09285841137170792,2,0.07685977220535278,0.7446171641349792,0.7431135773658752,0.819973349571228,6300.9560546875,-1300.955810546875,1300.955810546875
168335,6,18,2,argmax,1.0,2,0.0,0.9311617016792297,0.9220826029777527,0.9220826029777527,6239.1435546875,-1239.143310546875,1239.143310546875
168908,7,34,2,argmax,0.2145870327949524,2,0.0026604533195495605,0.7650563716888428,0.7722826600074768,0.7749431133270264,5654.78515625,-654.78515625,654.78515625
168908,8,45,2,argmax,0.1723281294107437,2,0.00855189561843872,0.7957237362861633,0.8065159320831299,0.8150678277015686,5485.3388671875,-485.338623046875,485.338623046875
168335,9,58,2,argmax,0.1626671701669693,2,0.011168479919433594,0.929360568523407,0.923575222492218,0.9347437024116516,5102.6328125,-102.63285064697266,102.63285064697266
168908,10,75,2,argmax,1.0,2,0.0,0.8288708925247192,0.8298795223236084,0.8298795223236084,6054.77734375,-1054.777587890625,1054.777587890625
189354,11,125,2,argmax,0.13622872531414032,2,0.023187577724456787,0.671133279800415,0.6713317632675171,0.6945193409919739,6059.04736328125,-1059.04736328125,1059.04736328125
168908,12,138,2,argmax,0.10504283010959625,2,0.05488908290863037,0.730712354183197,0.7367851138114929,0.7916741967201233,5690.1923828125,-690.192138671875,690.192138671875
168335,13,162,2,argmax,0.09818922728300095,2,0.06633293628692627,0.8759254813194275,0.8757888078689575,0.9421217441558838,5312.7587890625,-312.7587890625,312.7587890625
168908,14,199,2,argmax,0.08069025725126266,2,0.10757637023925781,0.7347294688224792,0.7351371645927429,0.8427135348320007,5085.2734375,-85.2734375,85.2734375
168908,15,205,2,argmax,1.0,2,0.0,0.7969061732292175,0.7926200032234192,0.7926200032234192,5482.015625,-482.015625,482.015625
189354,16,217,2,argmax,0.10398995876312256,2,0.05650937557220459,0.6301695108413696,0.6314691305160522,0.6879785060882568,6432.75390625,-1432.754150390625,1432.754150390625
168908,17,254,2,argmax,0.14852431416511536,2,0.016508519649505615,0.7997812032699585,0.7985624074935913,0.8150709271430969,5764.107421875,-764.107421875,764.107421875
168908,18,17,3,argmax,0.08359869569540024,3,0.09926944971084595,0.731124997138977,0.7248935103416443,0.8241629600524902,6106.4736328125,-1106.4735107421875,1106.4735107421875
168908,19,31,3,argmax,0.09398708492517471,3,0.07449978590011597,0.7791114449501038,0.7709506750106812,0.8454504609107971,6043.7041015625,-1043.7042236328125,1043.7042236328125
168908,20,33,3,argmax,1.0,3,0.0,0.8141500949859619,0.826259434223175,0.826259434223175,5001.07421875,-1.073974609375,1.073974609375
168908,21,52,3,argmax,0.08872853219509125,3,0.08615046739578247,0.7286447882652283,0.7281124591827393,0.8142629265785217,5666.8291015625,-666.829345703125,666.829345703125
168908,22,84,3,argmax,0.11774928867816925,3,0.03863745927810669,0.7709755301475525,0.7675555348396301,0.8061929941177368,6628.10888671875,-1628.10888671875,1628.10888671875
189354,23,96,3,argmax,0.17478910088539124,3,0.007989704608917236,0.6889256238937378,0.6927729845046997,0.7007626891136169,6646.78466796875,-1646.78466796875,1646.78466796875
168908,24,151,3,argmax,1.0,3,0.0,0.8111042976379395,0.8142536282539368,0.8142536282539368,6206.9677734375,-1206.9677734375,1206.9677734375
168908,25,172,3,argmax,0.12208188325166702,3,0.034278154373168945,0.7698635458946228,0.7710757255554199,0.8053538799285889,6127.67236328125,-1127.67236328125,1127.67236328125
168908,26,194,3,argmax,0.10817617177963257,3,0.05033683776855469,0.724230945110321,0.7281721234321594,0.7785089612007141,6479.21142578125,-1479.2115478515625,1479.2115478515625
189354,27,214,3,argmax,0.06747658550739288,3,0.15498191118240356,0.5917125940322876,0.5964267253875732,0.7514086365699768,5147.39990234375,-147.39996337890625,147.39996337890625
189354,28,225,3,argmax,0.06966719776391983,3,0.14587926864624023,0.6416736841201782,0.643202006816864,0.7890812754631042,5753.908203125,-753.907958984375,753.907958984375
189354,29,232,3,argmax,0.06149920076131821,3,0.18281406164169312,0.5837617516517639,0.591529130935669,0.7743431925773621,12051.3701171875,-7051.3701171875,7051.3701171875
168908,30,253,3,argmax,0.09050106257200241,3,0.08203274011611938,0.7502865195274353,0.7389609813690186,0.8209937214851379,6771.439453125,-1771.439697265625,1771.439697265625
168331,31,23,4,argmax,0.06107129901647568,4,0.1849883794784546,0.5401055216789246,0.5359106659889221,0.7208990454673767,5099.0048828125,-99.00483703613281,99.00483703613281
168908,32,72,4,argmax,0.1262609213590622,4,0.030539989471435547,0.7860915660858154,0.8005021810531616,0.8310421705245972,6985.52294921875,-1985.5228271484375,1985.5228271484375
168908,33,74,4,argmax,0.09686419367790222,4,0.06880652904510498,0.7633136510848999,0.7561113238334656,0.8249178528785706,6505.671875,-1505.671875,1505.671875
168908,34,89,4,argmax,0.13836850225925446,4,0.021856367588043213,0.8002226948738098,0.8128013014793396,0.8346576690673828,7253.63037109375,-2253.63037109375,2253.63037109375
189354,35,94,4,argmax,0.1262884885072708,4,0.030516743659973145,0.6871230602264404,0.6754431128501892,0.7059598565101624,5078.56103515625,-78.56085205078125,78.56085205078125
168908,36,111,4,argmax,1.0,4,0.0,0.8123104572296143,0.8007465600967407,0.8007465600967407,7069.8642578125,-2069.864501953125,2069.864501953125
189354,37,115,4,argmax,1.0,4,0.0,0.7673287391662598,0.7489061951637268,0.7489061951637268,11181.9619140625,-6181.9619140625,6181.9619140625
189354,38,132,4,argmax,0.12530876696109772,4,0.03135412931442261,0.6643930673599243,0.6748790740966797,0.7062332034111023,12173.1650390625,-7173.1650390625,7173.1650390625
168908,39,141,4,argmax,0.13484954833984375,4,0.024088263511657715,0.7840439677238464,0.7882449626922607,0.8123332262039185,6175.4833984375,-1175.4833984375,1175.4833984375
168908,40,149,4,argmax,0.13585785031318665,4,0.023426413536071777,0.8014654517173767,0.8029212951660156,0.8263477087020874,6427.7138671875,-1427.714111328125,1427.714111328125
168331,41,152,4,argmax,0.11850520223379135,4,0.03783881664276123,0.5241880416870117,0.5256093740463257,0.5634481906890869,6935.12255859375,-1935.12255859375,1935.12255859375
168908,42,159,4,argmax,0.1254294365644455,4,0.0312497615814209,0.78767329454422,0.7863497734069824,0.8175995349884033,7216.39990234375,-2216.39990234375,2216.39990234375
168908,43,177,4,argmax,0.13869407773017883,4,0.02166062593460083,0.8012583255767822,0.7976186275482178,0.8192792534828186,6066.6533203125,-1066.653076171875,1066.653076171875
168908,44,180,4,argmax,0.08987851440906525,4,0.08345603942871094,0.7306943535804749,0.7524857521057129,0.8359417915344238,6908.404296875,-1908.404541015625,1908.404541015625
168908,45,221,4,argmax,0.13640554249286652,4,0.023074567317962646,0.8110842704772949,0.7943878173828125,0.8174623847007751,7420.7041015625,-2420.703857421875,2420.703857421875
168908,46,236,4,argmax,0.09690217673778534,4,0.06873434782028198,0.7280241847038269,0.7240036129951477,0.7927379608154297,5512.99609375,-512.995849609375,512.995849609375
189354,47,239,4,argmax,1.0,4,0.0,0.691133975982666,0.6944583654403687,0.6944583654403687,9553.3095703125,-4553.3095703125,4553.3095703125
189354,48,57,5,argmax,0.12765014171600342,5,0.029389917850494385,0.69507896900177,0.692426860332489,0.7218167781829834,5510.22900390625,-510.2290344238281,510.2290344238281
189354,49,88,5,argmax,1.0,5,0.0,0.7447144985198975,0.7364858984947205,0.7364858984947205,5188.8564453125,-188.856201171875,188.856201171875
168908,50,99,5,argmax,0.09928124397993088,5,0.0643613338470459,0.739963173866272,0.7459508776664734,0.8103122115135193,6671.5146484375,-1671.514892578125,1671.514892578125
168908,51,134,5,argmax,0.11585593223571777,5,0.040712594985961914,0.7410327792167664,0.7509344220161438,0.7916470170021057,5199.55615234375,-199.5560302734375,199.5560302734375
168908,52,212,5,argmax,0.08256259560585022,5,0.10215246677398682,0.7488091588020325,0.740246057510376,0.8423985242843628,6578.14501953125,-1578.1451416015625,1578.1451416015625
189354,53,218,5,argmax,1.0,5,0.0,0.7426770329475403,0.7536089420318604,0.7536089420318604,5327.32568359375,-327.32574462890625,327.32574462890625
168331,54,20,6,argmax,0.05223878100514412,6,0.23612099885940552,0.4568180441856384,0.45361030101776123,0.6897312998771667,7533.109375,-2533.109130859375,2533.109130859375
168908,55,25,6,argmax,1.0,6,0.0,0.812505841255188,0.8130307197570801,0.8130307197570801,5923.95458984375,-923.9547119140625,923.9547119140625
189354,56,32,6,argmax,0.10377810895442963,6,0.056841135025024414,0.7092653512954712,0.706977128982544,0.7638182640075684,5413.61279296875,-413.61285400390625,413.61285400390625
189354,57,43,6,argmax,1.0,6,0.0,0.7199543714523315,0.7388397455215454,0.7388397455215454,5466.2421875,-466.2420654296875,466.2420654296875
189354,58,56,6,argmax,0.2613731324672699,6,0.0007303357124328613,0.7116134166717529,0.7126253247261047,0.7133556604385376,5557.197265625,-557.1973266601562,557.1973266601562
189354,59,63,6,argmax,1.0,6,0.0,0.7174159288406372,0.7202407717704773,0.7202407717704773,12191.953125,-7191.95263671875,7191.95263671875
189354,60,92,6,argmax,0.15356187522411346,6,0.014363408088684082,0.7018138766288757,0.6941419243812561,0.7085053324699402,5822.24609375,-822.245849609375,822.245849609375
168910,61,164,6,argmax,0.1538831889629364,6,0.0142364501953125,0.6448134779930115,0.6591562032699585,0.673392653465271,5048.46533203125,-48.46552276611328,48.46552276611328
189354,62,195,6,argmax,0.11151712387800217,6,0.04589807987213135,0.6461273431777954,0.6389553546905518,0.6848534345626831,5577.11474609375,-577.1146240234375,577.1146240234375
189354,63,203,6,argmax,0.10697609186172485,6,0.052033960819244385,0.6503710150718689,0.6545145511627197,0.7065485119819641,5015.470703125,-15.47088623046875,15.47088623046875
189354,64,216,6,argmax,0.10914850234985352,6,0.04900246858596802,0.7253293395042419,0.7174587845802307,0.7664612531661987,5025.3759765625,-25.375732421875,25.375732421875
189354,65,17,7,argmax,0.08595669269561768,4,0.09300786256790161,0.673766553401947,0.6707609295845032,0.7637687921524048,5114.4990234375,-114.49896240234375,114.49896240234375
168910,66,47,7,argmax,0.12994582951068878,7,0.027583539485931396,0.671467125415802,0.6652554869651794,0.6928390264511108,5010.09521484375,-10.09515380859375,10.09515380859375
168331,67,67,7,argmax,0.11386625468730927,7,0.04301351308822632,0.5402761101722717,0.5243937373161316,0.5674072504043579,5362.466796875,-362.46673583984375,362.46673583984375
168335,68,75,7,argmax,0.1277114748954773,5,0.029340147972106934,0.9192232489585876,0.906970202922821,0.936310350894928,5268.44921875,-268.448974609375,268.448974609375
189354,69,77,7,argmax,0.25884369015693665,7,0.0007832050323486328,0.6927965879440308,0.697958767414093,0.6987419724464417,6756.2890625,-1756.289306640625,1756.289306640625
168910,70,130,7,argmax,0.15555527806282043,7,0.013593673706054688,0.6676038503646851,0.670890212059021,0.6844838857650757,5172.8134765625,-172.813232421875,172.813232421875
168335,71,237,7,argmax,0.09917508810758591,7,0.06455039978027344,0.874028205871582,0.8716492652893066,0.9361996650695801,6027.04345703125,-1027.04345703125,1027.04345703125
168331,72,252,7,argmax,0.12299710512161255,7,0.03342217206954956,0.4816049039363861,0.4738062620162964,0.507228434085846,5013.0546875,-13.054542541503906,13.054542541503906
189354,73,8,8,argmax,0.10431581735610962,6,0.05600285530090332,0.6668150424957275,0.6606817841529846,0.7166846394538879,7267.150390625,-2267.150634765625,2267.150634765625
168331,74,50,8,argmax,0.06881525367498398,8,0.14935404062271118,0.517453134059906,0.5119404196739197,0.6612944602966309,5796.01513671875,-796.01513671875,796.01513671875
168910,75,112,8,argmax,0.1389305740594864,8,0.02151954174041748,0.642125129699707,0.6526210308074951,0.6741405725479126,5113.123046875,-113.122802734375,113.122802734375
168910,76,137,8,argmax,0.16673168540000916,8,0.009982049465179443,0.6759780645370483,0.6718826293945312,0.6818646788597107,5335.1796875,-335.17987060546875,335.17987060546875
168910,77,157,8,argmax,0.15230105817317963,8,0.014872610569000244,0.656642496585846,0.6503892540931702,0.6652618646621704,5088.68505859375,-88.68505859375,88.68505859375
