method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
sample_262k,results/convergence_audit/longrun_sample_step_262144.csv,256,0.03664805274456736,0.02025762200355525,0.042702780862772946,0.0,0.1934177875518798,0.2734375,5330.100646972656,5167.804443359375,640.3047198951244,167.80465698242188,-330.1006475389004,-167.80465698242188,15.5,14.0,0.789391583064571,0.8196266889572144,0.7862439018208534,0.8142072260379791,0.8228919545654207,0.8407214879989624
sample_524k,results/convergence_audit/longrun_sample_step_524288.csv,256,0.02998229092918333,0.01043459773063655,0.042364288374749384,0.0,0.2834676504135132,0.34375,5272.8318157196045,5191.239990234375,606.8341992795467,191.24002075195312,-272.83181695640087,-191.24002075195312,16.08203125,15.0,0.7978020897135139,0.8194938600063324,0.7951113812159747,0.8121224641799927,0.825093672145158,0.8402299880981445
sample_786k,results/convergence_audit/longrun_sample_step_786432.csv,256,0.03166647080797698,0.01572188735008235,0.037820711170719855,0.0,0.1866713166236877,0.28125,5318.943652153015,5158.61962890625,668.6638793349266,158.6197052001953,-318.9436680674553,-158.6197052001953,16.04296875,16.0,0.7954179014777765,0.8062306344509125,0.7919414857169613,0.8057000637054443,0.8236079565249383,0.8328846096992493
sample_1048k,results/convergence_audit/longrun_sample_step_1048576.csv,256,0.03021350142080334,0.0156055092811584,0.03766494093718206,0.0,0.1935535669326782,0.31640625,5252.133549690247,5178.294677734375,626.579408377409,178.29473876953125,-252.13355872035027,-178.29473876953125,16.3203125,16.0,0.7964817298343405,0.8191934823989868,0.7933740267762914,0.816054105758667,0.8235875281970948,0.8358781337738037
argmax_262k,results/convergence_audit/longrun_argmax_step_262144.csv,256,0.023810299811884733,0.0039792656898498,0.03796613754332191,0.0,0.2361209988594055,0.46484375,5552.859569549561,5201.0625,816.6820701509714,201.06240844726562,-552.8595634251833,-201.06240844726562,14.69921875,11.0,0.8006331677315757,0.8211413025856018,0.798841388663277,0.8177521228790283,0.8226516884751618,0.8358540832996368
argmax_524k,results/convergence_audit/longrun_argmax_step_524288.csv,256,0.018861905788071426,0.0055370926856994004,0.028261498559404,0.0,0.1776754260063171,0.421875,5651.5681409835815,5183.03173828125,902.0904037952423,183.03167724609375,-651.5681459009647,-183.03167724609375,14.578125,12.5,0.803884629975073,0.8266129493713379,0.8025028376141563,0.8271494507789612,0.8213647434022278,0.8351490795612335
argmax_786k,results/convergence_audit/longrun_argmax_step_786432.csv,256,0.016323426039889427,0.00137159228324885,0.025740728230454,0.0,0.1139829158782959,0.48046875,5597.674732208252,5206.86083984375,861.3352957963943,206.86102294921875,-597.6747433543205,-206.86102294921875,14.6015625,12.0,0.8047431734157726,0.829544335603714,0.8023715959861875,0.8293529152870178,0.8186950220260769,0.8333979547023773
argmax_1048k,results/convergence_audit/longrun_argmax_step_1048576.csv,256,0.019804054405540204,0.002171516418457,0.030469565463100128,0.0,0.1567378640174865,0.48046875,5529.547585487366,5190.796630859375,790.6773068010807,190.79655456542966,-529.5475748479366,-190.79655456542966,14.53515625,11.0,0.8053095284849405,0.8285277485847473,0.8042327230796218,0.8293924629688263,0.824036777485162,0.8419784903526306
random,results/convergence_audit/random_epi32.csv,256,0.03077610256150361,0.0174017250537872,0.03746593239940345,0.0,0.2240296006202697,0.30078125,5393.024369239807,5209.393310546875,739.9052120000124,209.39343261718747,-393.02437813580036,-209.39343261718747,16.0703125,16.0,0.7921851761639118,0.8163252770900726,0.7890302042942494,0.801959216594696,0.8198063068557531,0.8382978737354279
untrained_argmax,results/convergence_audit/cost_mean_untrained_argmax.csv,256,0.05103381560184059,0.0181702673435211,0.08310405389350733,0.0,0.475388765335083,0.32421875,5730.163237571716,5301.888427734375,890.9431777000427,301.8884582519531,-730.16323402524,-301.8884582519531,13.703125,10.0,0.7701291741104797,0.828088104724884,0.7694648989709094,0.8290302753448486,0.8204987146891654,0.8437640070915222
