method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
seed1_262k,results/convergence_audit/longrun_argmax_step_262144.csv,256,0.023810299811884733,0.0039792656898498,0.03796613754332191,0.0,0.2361209988594055,0.46484375,5552.859569549561,5201.0625,816.6820701509714,201.06240844726562,-552.8595634251833,-201.06240844726562,14.69921875,11.0,0.8006331677315757,0.8211413025856018,0.798841388663277,0.8177521228790283,0.8226516884751618,0.8358540832996368
seed1_524k,results/convergence_audit/longrun_argmax_step_524288.csv,256,0.018861905788071426,0.0055370926856994004,0.028261498559404,0.0,0.1776754260063171,0.421875,5651.5681409835815,5183.03173828125,902.0904037952423,183.03167724609375,-651.5681459009647,-183.03167724609375,14.578125,12.5,0.803884629975073,0.8266129493713379,0.8025028376141563,0.8271494507789612,0.8213647434022278,0.8351490795612335
seed1_786k,results/convergence_audit/longrun_argmax_step_786432.csv,256,0.016323426039889427,0.00137159228324885,0.025740728230454,0.0,0.1139829158782959,0.48046875,5597.674732208252,5206.86083984375,861.3352957963943,206.86102294921875,-597.6747433543205,-206.86102294921875,14.6015625,12.0,0.8047431734157726,0.829544335603714,0.8023715959861875,0.8293529152870178,0.8186950220260769,0.8333979547023773
seed1_1048k,results/convergence_audit/longrun_argmax_step_1048576.csv,256,0.019804054405540204,0.002171516418457,0.030469565463100128,0.0,0.1567378640174865,0.48046875,5529.547585487366,5190.796630859375,790.6773068010807,190.79655456542966,-529.5475748479366,-190.79655456542966,14.53515625,11.0,0.8053095284849405,0.8285277485847473,0.8042327230796218,0.8293924629688263,0.824036777485162,0.8419784903526306
seed2_262k,results/convergence_audit/seed2_argmax_step_262144.csv,256,0.01978296518791465,0.0007674992084502499,0.0318676913200171,0.0,0.1632571816444397,0.50390625,5385.414240837097,5131.890380859375,730.3569840490818,131.89016723632812,-385.4142430126667,-131.89016723632812,16.0234375,15.0,0.8050974740181118,0.8293445408344269,0.8024115845328197,0.8267368972301483,0.8221945497207344,0.8361160159111023
seed2_524k,results/convergence_audit/seed2_argmax_step_524288.csv,256,0.020077292923815524,0.0024285912513732502,0.03251107195898404,0.0,0.1733830571174621,0.4609375,5515.626337051392,5145.94189453125,831.7539687752724,145.9418182373047,-515.6263239383698,-145.9418182373047,15.3046875,14.0,0.806872156332247,0.8219081461429596,0.804555433918722,0.8221899569034576,0.8246327268425375,0.8404231369495392
seed2_786k,results/convergence_audit/seed2_argmax_step_786432.csv,256,0.021960517973639047,0.00462871789932245,0.03084436674992404,0.0,0.135259747505188,0.42578125,5165.762215614319,5196.99755859375,573.3370089828968,196.99747467041016,-165.76220884919167,-196.99747467041016,16.15234375,16.0,0.8012316852109507,0.8160546123981476,0.798060821951367,0.8050605356693268,0.820021339925006,0.836132675409317
seed2_1048k,results/convergence_audit/seed2_argmax_step_1048576.csv,256,0.02391443809028712,0.00535315275192255,0.03563179968676583,0.0,0.1572979688644409,0.4453125,5422.127909660339,5219.337646484375,784.6549002081156,219.33757781982422,-422.1279095560312,-219.33757781982422,15.9453125,15.0,0.8025210748892277,0.8170057833194733,0.8010115501238033,0.8249880969524384,0.8249259882140905,0.846933901309967
seed3_262k,results/convergence_audit/seed3_argmax_step_262144.csv,256,0.019642225815914544,0.00332713127136225,0.029918862764225087,0.0,0.1571418642997741,0.4296875,5851.340362548828,5229.879638671875,1064.2987615913153,229.87972259521484,-851.340351626277,-229.87972259521484,14.90625,12.0,0.8027278439840302,0.8221471309661865,0.8018517656018957,0.8185405433177948,0.8214939914178103,0.8333262205123901
seed3_524k,results/convergence_audit/seed3_argmax_step_524288.csv,256,0.016719480045139762,0.0020520985126494997,0.02696704853623407,0.0,0.1237707734107971,0.46875,5609.682503700256,5180.791015625,881.6420282572508,180.79098510742188,-609.6824919134378,-180.79098510742188,14.63671875,12.0,0.8077893132576719,0.8306945264339447,0.8057790058664978,0.8269406259059906,0.8224984859116375,0.8364632427692413
seed3_786k,results/convergence_audit/seed3_argmax_step_786432.csv,256,0.022358142887242114,0.00404074788093565,0.033768752622938186,0.0,0.1907278299331665,0.4296875,5566.838632583618,5250.104248046875,918.9599696844816,250.10426330566406,-566.8386341780424,-250.10426330566406,16.140625,15.0,0.8042391665512696,0.8259934484958649,0.8015411983942613,0.8224387168884277,0.8238993412815034,0.8374659419059753
seed3_1048k,results/convergence_audit/seed3_argmax_step_1048576.csv,256,0.02236972481478003,0.00277638435363765,0.03488474069068872,0.0,0.2035563588142395,0.453125,5385.954536437988,5143.808837890625,722.8325262516737,143.80896759033203,-385.9545361250639,-143.80896759033203,15.11328125,13.0,0.8034319122089073,0.8275856673717499,0.80084380262997,0.825220137834549,0.8232135274447501,0.8385143578052521
random,results/convergence_audit/random_epi32.csv,256,0.03077610256150361,0.0174017250537872,0.03746593239940345,0.0,0.2240296006202697,0.30078125,5393.024369239807,5209.393310546875,739.9052120000124,209.39343261718747,-393.02437813580036,-209.39343261718747,16.0703125,16.0,0.7921851761639118,0.8163252770900726,0.7890302042942494,0.801959216594696,0.8198063068557531,0.8382978737354279
