instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,195,1,argmax,2.3540267944335938,1,0.09498590230941772,0.6268559098243713,0.6264510154724121,0.7214369177818298,5948.77783203125,-948.77783203125,948.77783203125
189354,1,203,1,argmax,2.9779582023620605,1,0.050896644592285156,0.6819949150085449,0.6799400448799133,0.7308366894721985,9013.5625,-4013.5625,4013.5625
189354,2,217,1,argmax,27.63102149963379,1,0.0,0.7128238677978516,0.7141234874725342,0.7141234874725342,5220.2939453125,-220.2939453125,220.2939453125
168335,3,219,1,argmax,2.411386489868164,1,0.08969086408615112,0.8486114144325256,0.8530635833740234,0.9427544474601746,9264.138671875,-4264.138671875,4264.138671875
168908,4,34,2,argmax,27.63102149963379,2,0.0,0.7968904376029968,0.8041167259216309,0.8041167259216309,6099.08984375,-1099.08984375,1099.08984375
168908,5,52,2,argmax,3.2094309329986572,2,0.04037958383560181,0.7650693655014038,0.7575981616973877,0.7979777455329895,5826.31640625,-826.316162109375,826.316162109375
168908,6,84,2,argmax,2.6580142974853516,2,0.0700872540473938,0.7324636578559875,0.7373953461647034,0.8074826002120972,5780.39892578125,-780.39892578125,780.39892578125
168908,7,111,2,argmax,2.949413299560547,2,0.052370429039001465,0.7989040017127991,0.7812340259552002,0.8336044549942017,7143.3154296875,-2143.3154296875,2143.3154296875
168908,8,151,2,argmax,3.0896191596984863,2,0.04551929235458374,0.7869374752044678,0.7774969339370728,0.8230162262916565,5558.2978515625,-558.297607421875,558.297607421875
168908,9,199,2,argmax,3.801520586013794,2,0.02233678102493286,0.8109362721443176,0.8075997233390808,0.8299365043640137,5052.37109375,-52.370849609375,52.370849609375
168908,10,212,2,argmax,2.7412688732147217,2,0.0644884705543518,0.7710910439491272,0.7572572231292725,0.8217456936836243,6199.138671875,-1199.138916015625,1199.138916015625
189354,11,218,2,argmax,4.853992938995361,2,0.007797181606292725,0.7335449457168579,0.7235094308853149,0.7313066124916077,7500.802734375,-2500.802734375,2500.802734375
168908,12,236,2,argmax,3.385988473892212,2,0.033844172954559326,0.7688460350036621,0.7780770063400269,0.8119211792945862,5781.63427734375,-781.63427734375,781.63427734375
168335,13,237,2,argmax,2.760079860687256,2,0.06328672170639038,0.8561568856239319,0.8590526580810547,0.9223393797874451,11731.85546875,-6731.85595703125,6731.85595703125
168908,14,8,3,argmax,4.4044694900512695,3,0.012222588062286377,0.8013170957565308,0.791333019733429,0.8035556077957153,5792.72216796875,-792.72216796875,792.72216796875
168908,15,17,3,argmax,3.1343352794647217,3,0.04352867603302002,0.780988872051239,0.7775622010231018,0.8210908770561218,5631.802734375,-631.802978515625,631.802978515625
168908,16,25,3,argmax,3.014678716659546,3,0.049061596393585205,0.7651193141937256,0.7689372897148132,0.8179988861083984,5843.130859375,-843.130615234375,843.130615234375
168908,17,31,3,argmax,6.325380325317383,3,0.0017902851104736328,0.7981665730476379,0.7999954223632812,0.8017857074737549,5374.6328125,-374.633056640625,374.633056640625
168908,18,72,3,argmax,3.097461700439453,3,0.04516369104385376,0.7566499710083008,0.7495363354682922,0.794700026512146,6404.3369140625,-1404.3369140625,1404.3369140625
189354,19,132,3,argmax,3.6236491203308105,3,0.026685118675231934,0.655298113822937,0.662656843662262,0.6893419623374939,7050.11474609375,-2050.11474609375,2050.11474609375
168908,20,134,3,argmax,27.63102149963379,3,0.0,0.798206627368927,0.8115186095237732,0.8115186095237732,5824.6455078125,-824.645751953125,824.645751953125
