instance,episode_index,lane,step_count,method,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
168335,0,136,1,random,2.422600269317627,1,0.08869069814682007,0.8573785424232483,0.8541967868804932,0.9428874850273132,8023.4462890625,-3023.4462890625,3023.4462890625
168908,1,33,2,random,3.325917959213257,2,0.03593951463699341,0.7861942052841187,0.7924597859382629,0.8283993005752563,5779.84814453125,-779.84814453125,779.84814453125
168908,2,52,2,random,2.249613046646118,2,0.10544002056121826,0.705232560634613,0.7112525105476379,0.8166925311088562,5416.4208984375,-416.421142578125,416.421142578125
168908,3,99,2,random,4.078070640563965,2,0.01694011688232422,0.8157274127006531,0.7998520135879517,0.8167921304702759,5536.4931640625,-536.493408203125,536.493408203125
168908,4,149,2,random,2.5899248123168945,2,0.07502567768096924,0.7381791472434998,0.7396349906921387,0.8146606683731079,5393.6884765625,-393.6884765625,393.6884765625
168908,5,172,2,random,3.427046298980713,2,0.03248274326324463,0.7681580781936646,0.7840539813041687,0.8165367245674133,6432.23828125,-1432.238525390625,1432.238525390625
168908,6,194,2,random,3.220369577407837,2,0.03994029760360718,0.7597549557685852,0.7669818997383118,0.806922197341919,5642.5126953125,-642.512451171875,642.512451171875
168908,7,199,2,random,3.113163948059082,2,0.04446005821228027,0.7658227682113647,0.7637498378753662,0.8082098960876465,5155.890625,-155.890869140625,155.890869140625
189354,8,19,3,random,3.8510894775390625,3,0.021256566047668457,0.6666356325149536,0.6581687927246094,0.6794253587722778,5223.77099609375,-223.77099609375,223.77099609375
168908,9,45,3,random,3.5837137699127197,3,0.027772367000579834,0.7884048223495483,0.7764639854431152,0.8042363524436951,7176.82177734375,-2176.82177734375,2176.82177734375
168335,10,60,3,random,27.63102149963379,3,0.0,0.9373189806938171,0.938992977142334,0.938992977142334,16728.85546875,-11728.85546875,11728.85546875
168908,11,72,3,random,27.63102149963379,3,0.0,0.8397448062896729,0.8395754098892212,0.8395754098892212,5789.556640625,-789.556640625,789.556640625
168908,12,75,3,random,3.0827174186706543,3,0.04583454132080078,0.7744182348251343,0.7560766339302063,0.8019111752510071,5643.6669921875,-643.667236328125,643.667236328125
168908,13,134,3,random,2.5721137523651123,3,0.07637393474578857,0.7422682642936707,0.7333264350891113,0.8097003698348999,5493.3359375,-493.3359375,493.3359375
168908,14,141,3,random,2.587117910385132,3,0.07523655891418457,0.7347751259803772,0.7234294414520264,0.7986660003662109,6473.93505859375,-1473.93505859375,1473.93505859375
189354,15,154,3,random,2.2830069065093994,3,0.10197710990905762,0.6032076478004456,0.5915493965148926,0.6935265064239502,20098.06640625,-15098.06640625,15098.06640625
168908,16,180,3,random,3.323878288269043,3,0.036012887954711914,0.7802082300186157,0.7869499921798706,0.8229628801345825,7238.7255859375,-2238.725341796875,2238.725341796875
168908,17,205,3,random,3.815648078918457,3,0.022023439407348633,0.7525507211685181,0.7580491900444031,0.7800726294517517,5526.46875,-526.46875,526.46875
168908,18,212,3,random,2.9315524101257324,3,0.053314208984375,0.786421537399292,0.771767258644104,0.825081467628479,8046.57275390625,-3046.57275390625,3046.57275390625
189354,19,217,3,random,3.1926867961883545,3,0.0410614013671875,0.679293692111969,0.6901155114173889,0.7311769127845764,5824.0654296875,-824.0655517578125,824.0655517578125
168908,20,236,3,random,3.327713966369629,3,0.035875022411346436,0.7850723266601562,0.782164454460144,0.8180394768714905,5946.26171875,-946.26171875,946.26171875
168908,21,253,3,random,3.0583856105804443,3,0.04696345329284668,0.7527062296867371,0.7413806915283203,0.788344144821167,6219.31298828125,-1219.31298828125,1219.31298828125
168908,22,254,3,random,2.9711191654205322,3,0.051245927810668945,0.7400525808334351,0.7439786791801453,0.7952246069908142,7366.03466796875,-2366.03466796875,2366.03466796875
168908,23,8,4,random,2.6549270153045654,4,0.07030397653579712,0.720916211605072,0.7273268103599548,0.797630786895752,5161.474609375,-161.474609375,161.474609375
168908,24,25,4,random,2.7214696407318115,4,0.06577801704406738,0.7260633111000061,0.7268359661102295,0.7926139831542969,5821.0673828125,-821.0675659179688,821.0675659179688
168908,25,28,4,random,2.793586254119873,4,0.06120133399963379,0.7591274976730347,0.7510017156600952,0.812203049659729,7296.5654296875,-2296.565185546875,2296.565185546875
168908,26,34,4,random,2.6726152896881104,4,0.06907135248184204,0.7235027551651001,0.7162951827049255,0.7853665351867676,5112.99267578125,-112.9927978515625,112.9927978515625
168908,27,84,4,random,27.63102149963379,4,0.0,0.7956697940826416,0.8004136681556702,0.8004136681556702,5459.025390625,-459.025634765625,459.025634765625
189354,28,94,4,random,2.2831289768218994,4,0.10196465253829956,0.6057389378547668,0.6036747694015503,0.7056394219398499,8575.310546875,-3575.31103515625,3575.31103515625
189354,29,96,4,random,27.63102149963379,4,0.0,0.6680893301963806,0.6836683750152588,0.6836683750152588,5597.66943359375,-597.6693115234375,597.6693115234375
168908,30,111,4,random,2.2376112937927246,4,0.10671311616897583,0.7373496294021606,0.7303072214126587,0.8370203375816345,7852.7216796875,-2852.721923828125,2852.721923828125
189354,31,132,4,random,2.666334629058838,4,0.06950652599334717,0.6588879227638245,0.6588545441627502,0.7283610701560974,5447.796875,-447.7967529296875,447.7967529296875
168908,32,138,4,random,2.686180830001831,4,0.06814068555831909,0.7567006945610046,0.7546935081481934,0.8228341937065125,6403.56591796875,-1403.5660400390625,1403.5660400390625
168908,33,151,4,random,4.143578052520752,4,0.015865981578826904,0.7986733913421631,0.7910131216049194,0.8068791031837463,6118.30029296875,-1118.3004150390625,1118.3004150390625
168908,34,159,4,random,2.4412155151367188,4,0.08705496788024902,0.7354500889778137,0.7262580394744873,0.8133130073547363,5906.640625,-906.6405029296875,906.6405029296875
168908,35,177,4,random,3.8824920654296875,4,0.020599424839019775,0.7576096653938293,0.7704347968101501,0.7910342216491699,6009.24462890625,-1009.24462890625,1009.24462890625
189354,36,178,4,random,3.9760777950286865,4,0.018759071826934814,0.6831684112548828,0.6799322366714478,0.6986913084983826,5492.9736328125,-492.9735107421875,492.9735107421875
168908,37,182,4,random,2.567697763442993,4,0.07671195268630981,0.7603229284286499,0.7492890954017639,0.8260010480880737,6845.12109375,-1845.120849609375,1845.120849609375
189354,38,218,4,random,3.038630723953247,4,0.04790043830871582,0.6717546582221985,0.6703017950057983,0.7182022333145142,5797.11572265625,-797.11572265625,797.11572265625
168908,39,221,4,random,27.63102149963379,4,0.0,0.7759261727333069,0.7936486601829529,0.7936486601829529,5131.7880859375,-131.787841796875,131.787841796875
168908,40,17,5,random,5.568394184112549,5,0.0038166046142578125,0.8116922378540039,0.8029886484146118,0.8068052530288696,7142.6826171875,-2142.682861328125,2142.682861328125
168908,41,31,5,random,3.0172088146209717,5,0.04893761873245239,0.7857852578163147,0.7776244878768921,0.8265621066093445,6954.00537109375,-1954.00537109375,1954.00537109375
189354,42,43,5,random,2.061305046081543,5,0.12728774547576904,0.642818808555603,0.631722092628479,0.759009838104248,6394.05419921875,-1394.0540771484375,1394.0540771484375
189354,43,56,5,random,3.9808967113494873,5,0.01866888999938965,0.6752397418022156,0.6770463585853577,0.6957152485847473,5440.41064453125,-440.41064453125,440.41064453125
189354,44,77,5,random,2.5705361366271973,5,0.07649451494216919,0.6509981155395508,0.6487723588943481,0.7252668738365173,5028.96484375,-28.96490478515625,28.96490478515625
189354,45,115,5,random,3.192533016204834,5,0.04106771945953369,0.6719726920127869,0.6561845541000366,0.6972522735595703,6606.208984375,-1606.208740234375,1606.208740234375
189354,46,189,5,random,3.3683676719665527,5,0.03444582223892212,0.6505628228187561,0.6507329344749451,0.6851787567138672,6078.19921875,-1078.1993408203125,1078.1993408203125
189354,47,195,5,random,2.2065846920013428,5,0.1100759506225586,0.6302668452262878,0.6265574097633362,0.7366333603858948,5211.25244140625,-211.25265502929688,211.25265502929688
189354,48,197,5,random,4.184398174285889,5,0.01523137092590332,0.6735537052154541,0.6845269203186035,0.6997582912445068,7225.90185546875,-2225.90185546875,2225.90185546875
189354,49,214,5,random,3.0136380195617676,5,0.049112677574157715,0.6799359321594238,0.6701368689537048,0.7192495465278625,5717.359375,-717.3592529296875,717.3592529296875
189354,50,225,5,random,2.7728404998779297,5,0.0624842643737793,0.726530909538269,0.708345890045166,0.7708301544189453,9062.740234375,-4062.73974609375,4062.73974609375
189354,51,57,6,random,2.3418378829956055,6,0.09615075588226318,0.6415460705757141,0.6415441632270813,0.7376949191093445,5100.3017578125,-100.3018798828125,100.3018798828125
189354,52,78,6,random,3.1960251331329346,6,0.0409245491027832,0.6528477072715759,0.6613688468933105,0.7022933959960938,8447.1318359375,-3447.131591796875,3447.131591796875
168335,53,134,6,random,2.975081443786621,3,0.05104327201843262,0.8670324087142944,0.8705294728279114,0.921572744846344,9348.4443359375,-4348.4443359375,4348.4443359375
168335,54,224,6,random,2.448634147644043,6,0.08641153573989868,0.8630669116973877,0.8580995798110962,0.9445111155509949,8054.375,-3054.374755859375,3054.374755859375
189354,55,232,6,random,3.8784754276275635,6,0.020682334899902344,0.6916099786758423,0.6859672665596008,0.7066496014595032,5185.771484375,-185.771728515625,185.771728515625
189354,56,239,6,random,1.4959770441055298,6,0.22402960062026978,0.6643652319908142,0.6690155863761902,0.89304518699646,5344.5361328125,-344.536376953125,344.536376953125
189354,57,88,7,random,2.293231964111328,7,0.10093969106674194,0.6646225452423096,0.6681662797927856,0.7691059708595276,5298.693359375,-298.69329833984375,298.69329833984375
189354,58,92,7,random,3.6452293395996094,7,0.02611541748046875,0.6979166865348816,0.6882790923118591,0.7143945097923279,5071.072265625,-71.072265625,71.072265625
189354,59,216,7,random,2.0911812782287598,7,0.12354111671447754,0.5841214060783386,0.5917096734046936,0.7152507901191711,6344.66796875,-1344.667724609375,1344.667724609375
168335,60,18,8,random,4.387833118438721,8,0.01242762804031372,0.9321286082267761,0.9227582812309265,0.9351859092712402,5195.8583984375,-195.858642578125,195.858642578125
189354,61,32,8,random,3.580606698989868,8,0.02785879373550415,0.7121840715408325,0.6998010277748108,0.7276598215103149,5439.89306640625,-439.89324951171875,439.89324951171875
189354,62,63,8,random,3.227526903152466,8,0.039655447006225586,0.7011175155639648,0.6877226829528809,0.7273781299591064,5909.77734375,-909.777099609375,909.777099609375
