episode_index,lane,step_count,method,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
0,154,4,ei,3.9532783031463623,4,0.0191916823387146,0.9646574258804321,0.9707494378089905,0.9899411201477051,5950.2958984375,-950.2958984375,950.2958984375
1,89,5,ei,3.495006799697876,5,0.030348539352416992,0.9777881503105164,0.9641838669776917,0.9945324063301086,5236.7744140625,-236.7745361328125,236.7745361328125
2,84,6,ei,3.386749505996704,6,0.03381842374801636,0.9635005593299866,0.9600805640220642,0.9938989877700806,5259.7294921875,-259.7293701171875,259.7293701171875
3,218,7,ei,3.3100078105926514,7,0.036515891551971436,0.977665364742279,0.9576371908187866,0.9941530823707581,5632.80419921875,-632.8043823242188,632.8043823242188
4,243,7,ei,3.4347293376922607,7,0.032234132289886475,0.9730262756347656,0.9589312672615051,0.9911653995513916,5647.69091796875,-647.6907348632812,647.6907348632812
5,12,8,ei,4.036742210388184,8,0.017654895782470703,0.9768801331520081,0.9765323400497437,0.9941872358322144,5061.1484375,-61.1484375,61.1484375
6,56,8,ei,3.2832324504852295,8,0.037506818771362305,0.9895707368850708,0.9552364945411682,0.9927433133125305,5120.943359375,-120.943603515625,120.943603515625
7,69,8,ei,4.811020374298096,8,0.008139550685882568,0.9954073429107666,0.9828632473945618,0.9910027980804443,5123.20751953125,-123.20751953125,123.20751953125
8,11,9,ei,2.717196226119995,9,0.06605970859527588,0.9435101747512817,0.9267479777336121,0.9928076863288879,5416.544921875,-416.5447998046875,416.5447998046875
9,19,9,ei,4.517624378204346,9,0.010914921760559082,0.9882298707962036,0.9832494854927063,0.9941644072532654,5063.6318359375,-63.6319580078125,63.6319580078125
10,35,9,ei,4.284909248352051,9,0.013774871826171875,0.9891251921653748,0.9789343476295471,0.992709219455719,5236.046875,-236.04705810546875,236.04705810546875
11,196,9,ei,4.4214768409729,9,0.012016475200653076,0.987259030342102,0.9827170372009277,0.9947335124015808,5419.11669921875,-419.1168212890625,419.1168212890625
12,205,9,ei,2.613921880722046,9,0.07324671745300293,0.9409465789794922,0.9219877123832703,0.9952344298362732,5568.25146484375,-568.2516479492188,568.2516479492188
13,234,9,ei,5.199649810791016,9,0.005518496036529541,1.0,0.9901374578475952,0.9956559538841248,5620.4736328125,-620.4734497070312,620.4734497070312
14,250,9,ei,5.10197114944458,9,0.006084740161895752,1.0,0.9803618788719177,0.9864466190338135,5070.40966796875,-70.40966796875,70.40966796875
15,30,10,ei,4.582669258117676,10,0.010227560997009277,0.9911306500434875,0.9838648438453674,0.9940924048423767,5305.2783203125,-305.2783203125,305.2783203125
16,131,10,ei,3.056520462036133,10,0.04705113172531128,0.9655046463012695,0.9474015235900879,0.9944526553153992,5479.79541015625,-479.7955322265625,479.7955322265625
17,152,11,ei,4.453286170959473,11,0.01164025068283081,0.9753256440162659,0.9829869866371155,0.9946272373199463,5357.408203125,-357.40826416015625,357.40826416015625
18,26,12,ei,4.683158874511719,12,0.009249746799468994,0.9835982322692871,0.9830619692802429,0.9923117160797119,5232.5625,-232.56256103515625,232.56256103515625
19,58,12,ei,2.2648978233337402,12,0.1038406491279602,0.9076105356216431,0.8915950655937195,0.9954357147216797,5079.048828125,-79.04864501953125,79.04864501953125
20,77,12,ei,2.9210638999938965,12,0.05387634038925171,0.9562836289405823,0.9405991435050964,0.9944754838943481,5232.61279296875,-232.61297607421875,232.61297607421875
21,60,13,ei,3.34761905670166,13,0.03516799211502075,0.9591047167778015,0.9577760100364685,0.9929440021514893,5384.197265625,-384.197021484375,384.197021484375
22,167,13,ei,3.366612672805786,13,0.03450632095336914,0.963976263999939,0.9599084258079529,0.994414746761322,5339.81982421875,-339.8199157714844,339.8199157714844
23,23,14,ei,3.5721359252929688,14,0.028095781803131104,0.9764333963394165,0.9671235084533691,0.9952192902565002,5307.12109375,-307.120849609375,307.120849609375
24,91,14,ei,5.46621036529541,14,0.0042272210121154785,1.0,0.9917289018630981,0.9959561228752136,5339.9189453125,-339.9190673828125,339.9190673828125
25,134,14,ei,3.601595878601074,14,0.027280151844024658,0.9494261741638184,0.9679391384124756,0.9952192902565002,5236.689453125,-236.6895751953125,236.6895751953125
26,18,15,ei,3.6230976581573486,15,0.026699841022491455,0.9616793394088745,0.9663047790527344,0.9930046200752258,5271.2255859375,-271.225830078125,271.225830078125
27,20,15,ei,2.6400136947631836,15,0.07136029005050659,0.9257001280784607,0.9184561967849731,0.9898164868354797,5048.16650390625,-48.16656494140625,48.16656494140625
28,55,15,ei,4.107064723968506,15,0.016456007957458496,0.9898627400398254,0.9769123792648315,0.99336838722229,5096.06689453125,-96.06689453125,96.06689453125
29,65,15,ei,3.210475206375122,15,0.040337443351745605,0.9663118124008179,0.9526709914207458,0.9930084347724915,5322.431640625,-322.4316101074219,322.4316101074219
30,126,15,ei,5.647243976593018,15,0.003527224063873291,1.0,0.9924630522727966,0.9959902763366699,5057.09033203125,-57.09051513671875,57.09051513671875
31,148,15,ei,27.63102149963379,15,0.0,0.9929467439651489,0.9889709949493408,0.9889709949493408,5182.265625,-182.26571655273438,182.26571655273438
32,183,15,ei,3.3155813217163086,15,0.03631293773651123,0.9666516780853271,0.9592898488044739,0.9956027865409851,5049.33837890625,-49.33837890625,49.33837890625
33,7,16,ei,4.586546421051025,16,0.010187983512878418,0.9726212620735168,0.9833395481109619,0.9935275316238403,5002.2919921875,-2.292236328125,2.292236328125
34,231,16,ei,3.236178398132324,16,0.03931385278701782,0.9685481190681458,0.9531871676445007,0.9925010204315186,5279.8251953125,-279.824951171875,279.824951171875
35,237,16,ei,3.297797918319702,16,0.036964476108551025,0.9671494960784912,0.9580574035644531,0.9950218796730042,5257.87060546875,-257.8705139160156,257.8705139160156
36,241,16,ei,3.7761480808258057,16,0.022910773754119873,0.9798708558082581,0.9718758463859558,0.9947866201400757,5027.34716796875,-27.34716796875,27.34716796875
37,96,17,ei,5.6052985191345215,17,0.0036783218383789062,1.0,0.9912183284759521,0.994896650314331,5067.04248046875,-67.04248046875,67.04248046875
38,156,17,ei,2.551809310913086,17,0.07794052362442017,0.9285141229629517,0.9125785231590271,0.9905190467834473,5185.5009765625,-185.50082397460938,185.50082397460938
39,180,17,ei,7.026952743530273,17,0.0008876323699951172,1.0,0.9938989877700806,0.9947866201400757,5073.7744140625,-73.77447509765625,73.77447509765625
40,244,17,ei,2.4416112899780273,17,0.08702051639556885,0.9219703078269958,0.9087988138198853,0.9958193302154541,5228.2666015625,-228.26644897460938,228.26644897460938
41,53,18,ei,4.0964508056640625,18,0.016631603240966797,0.9889260530471802,0.9703495502471924,0.9869811534881592,5032.37109375,-32.37109375,32.37109375
42,75,18,ei,4.390388011932373,18,0.012395918369293213,0.9994561076164246,0.9782213568687439,0.9906172752380371,5097.3046875,-97.304931640625,97.304931640625
43,99,18,ei,3.962930917739868,18,0.019007325172424316,0.9879193305969238,0.9723320007324219,0.9913393259048462,5218.4169921875,-218.4169921875,218.4169921875
44,109,18,ei,27.63102149963379,18,0.0,0.9962301254272461,0.9917477965354919,0.9917477965354919,5086.86328125,-86.86337280273438,86.86337280273438
45,140,18,ei,3.1032114028930664,18,0.04490476846694946,0.9554870128631592,0.9480884671211243,0.9929932355880737,5209.68115234375,-209.68133544921875,209.68133544921875
46,155,18,ei,5.884289741516113,18,0.0027828216552734375,0.9943804740905762,0.9924858212471008,0.9952686429023743,5096.126953125,-96.126708984375,96.126708984375
47,164,18,ei,3.4417099952697754,18,0.032009899616241455,0.9597310423851013,0.963562548160553,0.9955724477767944,5024.58984375,-24.59002685546875,24.59002685546875
48,208,18,ei,2.7942545413970947,18,0.06116044521331787,0.9570488929748535,0.9341234564781189,0.9952839016914368,5042.3369140625,-42.3369140625,42.3369140625
49,228,18,ei,3.9605255126953125,18,0.019053101539611816,0.9974690079689026,0.9735084772109985,0.9925615787506104,5183.32421875,-183.32412719726562,183.32412719726562
50,9,19,ei,3.79683518409729,19,0.02244168519973755,0.9809725284576416,0.9727586507797241,0.9952003359794617,5099.40380859375,-99.40362548828125,99.40362548828125
51,15,19,ei,3.3071911334991455,19,0.03661888837814331,0.9672849774360657,0.9518354535102844,0.9884543418884277,5035.998046875,-35.997955322265625,35.997955322265625
52,19,19,ei,4.6218438148498535,10,0.009834647178649902,0.9989781975746155,0.984386682510376,0.9942213296890259,5201.1943359375,-201.1944580078125,201.1944580078125
53,33,19,ei,3.733384370803833,19,0.023911774158477783,0.9643246531486511,0.9705902338027954,0.9945020079612732,5148.2353515625,-148.2353515625,148.2353515625
54,49,19,ei,3.9837231636047363,19,0.018616199493408203,0.9628019332885742,0.9752107858657837,0.9938269853591919,5063.15966796875,-63.159759521484375,63.159759521484375
55,66,19,ei,3.649751901626587,19,0.025997579097747803,0.9707557559013367,0.9682124257087708,0.9942100048065186,5168.158203125,-168.15802001953125,168.15802001953125
56,78,19,ei,7.26196813583374,19,0.0007017254829406738,0.9912185072898865,0.9940506815910339,0.9947524070739746,5099.61669921875,-99.61669921875,99.61669921875
57,85,19,ei,4.033994197845459,19,0.017703473567962646,0.9981234073638916,0.9775424003601074,0.9952458739280701,5078.3154296875,-78.31561279296875,78.31561279296875
58,103,19,ei,2.05496883392334,19,0.1280968189239502,0.8978420495986938,0.8665569424629211,0.9946537613868713,5082.79296875,-82.79296875,82.79296875
59,142,19,ei,3.1939823627471924,19,0.04100823402404785,0.9595637917518616,0.9548794627189636,0.9958876967430115,5175.6298828125,-175.6298828125,175.6298828125
60,162,19,ei,3.288207769393921,19,0.03732067346572876,0.980253279209137,0.9552218914031982,0.992542564868927,5052.00537109375,-52.00537109375,52.00537109375
61,170,19,ei,2.961930990219116,19,0.051718950271606445,0.9508680701255798,0.9434092044830322,0.9951281547546387,5165.5361328125,-165.53604125976562,165.53604125976562
62,207,19,ei,3.2900350093841553,19,0.03725254535675049,0.9758078455924988,0.9559983611106873,0.9932509064674377,5035.259765625,-35.259857177734375,35.259857177734375
63,215,19,ei,3.3485684394836426,19,0.03513461351394653,0.9784584641456604,0.9590374231338501,0.9941720366477966,5255.93701171875,-255.93704223632812,255.93704223632812
64,216,19,ei,4.585517406463623,19,0.010198473930358887,1.0,0.9854574799537659,0.9956559538841248,5212.53955078125,-212.5394287109375,212.5394287109375
65,68,20,ei,6.440495014190674,20,0.001595616340637207,1.0,0.992709219455719,0.9943048357963562,5097.3232421875,-97.32339477539062,97.32339477539062
66,129,20,ei,3.624178647994995,20,0.026670992374420166,0.9716232419013977,0.9649860262870789,0.991657018661499,5184.97998046875,-184.98016357421875,184.98016357421875
67,165,20,ei,4.000502586364746,20,0.018306434154510498,0.9913766980171204,0.976685106754303,0.9949915409088135,5191.2265625,-191.22662353515625,191.22662353515625
68,171,20,ei,5.195812225341797,20,0.00553971529006958,1.0,0.9864616394042969,0.9920013546943665,5022.69140625,-22.691162109375,22.691162109375
69,186,20,ei,2.3199424743652344,20,0.09827923774719238,0.9186568856239319,0.8968414068222046,0.995120644569397,5146.51953125,-146.51959228515625,146.51959228515625
70,243,20,ei,3.275808572769165,13,0.03778630495071411,0.9650781154632568,0.9573267102241516,0.9951130151748657,5068.623046875,-68.62322998046875,68.62322998046875
71,251,20,ei,3.2069320678710938,20,0.040480613708496094,0.9695305228233337,0.9538127779960632,0.9942933917045593,5259.75,-259.750244140625,259.750244140625
72,40,21,ei,2.8240408897399902,21,0.05936557054519653,0.9271639585494995,0.9360853433609009,0.9954509139060974,5234.87646484375,-234.87661743164062,234.87661743164062
73,73,21,ei,27.63102149963379,21,0.0,1.0,0.9954281449317932,0.9954281449317932,5115.75146484375,-115.75146484375,115.75146484375
74,93,21,ei,5.343116283416748,21,0.004780948162078857,1.0,0.9907155632972717,0.9954965114593506,5105.091796875,-105.09176635742188,105.09176635742188
75,131,21,ei,2.2874624729156494,11,0.101523756980896,0.9163608551025391,0.8916664719581604,0.9931902289390564,5219.0947265625,-219.09490966796875,219.09490966796875
76,145,21,ei,3.842003583908081,21,0.021450579166412354,0.9746316075325012,0.9725508093833923,0.9940013885498047,5007.1064453125,-7.106475830078125,7.106475830078125
77,158,21,ei,5.7569193840026855,21,0.003160834312438965,1.0,0.9919294118881226,0.9950902462005615,5216.603515625,-216.60333251953125,216.60333251953125
