episode_index,lane,step_count,method,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
0,212,8,eipu,3.721633195877075,8,0.024194419384002686,0.9739275574684143,0.9685375094413757,0.9927319288253784,5624.85107421875,-624.8509521484375,624.8509521484375
1,33,10,eipu,6.044161319732666,10,0.002371668815612793,1.0,0.9935616254806519,0.9959332942962646,5226.1318359375,-226.131591796875,226.131591796875
2,87,11,eipu,9.536330223083496,11,7.218122482299805e-05,1.0,0.995124340057373,0.995196521282196,5445.962890625,-445.963134765625,445.963134765625
3,45,12,eipu,27.63102149963379,12,0.0,0.986627459526062,0.9952648878097534,0.9952648878097534,5081.97119140625,-81.97140502929688,81.97140502929688
4,63,12,eipu,6.138193130493164,12,0.002158820629119873,0.9808741211891174,0.9900052547454834,0.9921640753746033,5029.97021484375,-29.970279693603516,29.970279693603516
5,196,12,eipu,4.719217300415039,12,0.008922159671783447,0.9790086150169373,0.9836809635162354,0.9926031231880188,5085.896484375,-85.8966064453125,85.8966064453125
6,59,13,eipu,4.458559036254883,13,0.011579036712646484,0.9805743098258972,0.978456437587738,0.9900354743003845,5484.0205078125,-484.0206298828125,484.0206298828125
7,83,13,eipu,6.6773200035095215,13,0.001259148120880127,0.9934098720550537,0.9905908107757568,0.991849958896637,5126.13427734375,-126.13421630859375,126.13421630859375
8,182,13,eipu,6.402633190155029,13,0.0016571879386901855,0.9934585094451904,0.9864842295646667,0.9881414175033569,5242.73828125,-242.73846435546875,242.73846435546875
9,30,14,eipu,4.601256847381592,14,0.010039210319519043,0.986202597618103,0.9828706979751587,0.9929099082946777,5366.32763671875,-366.3276672363281,366.3276672363281
10,49,14,eipu,5.45655632019043,14,0.004268229007720947,0.99049311876297,0.9862810373306274,0.9905492663383484,5003.58447265625,-3.58428955078125,3.58428955078125
11,125,14,eipu,4.745095729827881,14,0.008694231510162354,0.9867990016937256,0.9840112328529358,0.9927054643630981,6123.48193359375,-1123.4820556640625,1123.4820556640625
12,211,14,eipu,4.473949909210205,14,0.0114021897315979,0.9946556091308594,0.9820836782455444,0.9934858679771423,5043.6474609375,-43.64723205566406,43.64723205566406
13,145,15,eipu,5.520252704620361,15,0.004004836082458496,0.9963276386260986,0.9902809858322144,0.9942858219146729,5131.6513671875,-131.6512451171875,131.6512451171875
14,252,15,eipu,5.932535171508789,15,0.0026517510414123535,0.9924737811088562,0.9903414845466614,0.9929932355880737,5030.17236328125,-30.172576904296875,30.172576904296875
15,29,16,eipu,27.63102149963379,16,0.0,0.9944050312042236,0.9945133924484253,0.9945133924484253,5047.80419921875,-47.80430603027344,47.80430603027344
16,35,16,eipu,5.302475452423096,16,0.004979252815246582,0.9945505857467651,0.9893596768379211,0.9943389296531677,5065.99365234375,-65.9935531616211,65.9935531616211
17,42,16,eipu,5.77321195602417,16,0.003109753131866455,1.0,0.9841951727867126,0.9873049259185791,5004.1728515625,-4.173095703125,4.173095703125
18,64,16,eipu,6.115994453430176,16,0.0022072792053222656,0.9940643310546875,0.993110716342926,0.9953179955482483,5058.515625,-58.515594482421875,58.515594482421875
19,148,16,eipu,27.63102149963379,16,0.0,1.0,0.9950940012931824,0.9950940012931824,5016.63427734375,-16.634078979492188,16.634078979492188
20,180,16,eipu,5.754828453063965,16,0.003167450428009033,1.0,0.9916419386863708,0.9948093891143799,5129.6005859375,-129.60043334960938,129.60043334960938
21,183,16,eipu,6.316761493682861,16,0.0018057823181152344,0.9841021299362183,0.9915322065353394,0.9933379888534546,5363.169921875,-363.169677734375,363.169677734375
22,195,16,eipu,27.63102149963379,16,0.0,0.9981542229652405,0.9953673481941223,0.9953673481941223,5050.80126953125,-50.80112075805664,50.80112075805664
23,68,17,eipu,27.63102149963379,17,0.0,0.992492139339447,0.9957585334777832,0.9957585334777832,5634.5419921875,-634.5419921875,634.5419921875
24,95,17,eipu,27.63102149963379,17,0.0,0.9782313704490662,0.9957585334777832,0.9957585334777832,6168.6357421875,-1168.635986328125,1168.635986328125
25,112,17,eipu,27.63102149963379,17,0.0,1.0,0.9964386820793152,0.9964386820793152,5030.54345703125,-30.54327392578125,30.54327392578125
26,167,17,eipu,5.450472354888916,17,0.004294276237487793,0.9938211441040039,0.9896692037582397,0.9939634799957275,5030.0,-30.000144958496094,30.000144958496094
27,200,17,eipu,27.63102149963379,17,0.0,0.9935994148254395,0.9953977465629578,0.9953977465629578,5025.18896484375,-25.1888427734375,25.1888427734375
28,62,18,eipu,7.647211074829102,18,0.0004773736000061035,0.9883507490158081,0.9929099082946777,0.9933872818946838,5141.154296875,-141.15435791015625,141.15435791015625
29,91,18,eipu,27.63102149963379,18,0.0,0.995184600353241,0.9952117204666138,0.9952117204666138,5257.75244140625,-257.75244140625,257.75244140625
30,156,18,eipu,6.428612232208252,18,0.001614689826965332,0.9847318530082703,0.9904888272285461,0.9921035170555115,5073.46630859375,-73.46627807617188,73.46627807617188
31,185,18,eipu,27.63102149963379,18,0.0,1.0,0.9953104257583618,0.9953104257583618,5023.1015625,-23.101661682128906,23.101661682128906
32,222,18,eipu,8.218159675598145,18,0.0002697110176086426,0.9930120706558228,0.9955837726593018,0.9958534836769104,5101.5,-101.4998779296875,101.4998779296875
33,224,18,eipu,5.508784294128418,18,0.004051029682159424,0.9981685280799866,0.9830957055091858,0.9871467351913452,5266.99609375,-266.9959716796875,266.9959716796875
34,228,18,eipu,6.194440841674805,18,0.0020407438278198242,0.9876230359077454,0.9914867877960205,0.9935275316238403,5425.0419921875,-425.04205322265625,425.04205322265625
35,242,18,eipu,27.63102149963379,18,0.0,0.9846736788749695,0.9945399761199951,0.9945399761199951,5015.1708984375,-15.171058654785156,15.171058654785156
36,246,18,eipu,27.63102149963379,18,0.0,1.0,0.9946120381355286,0.9946120381355286,5030.64892578125,-30.648757934570312,30.648757934570312
37,1,19,eipu,5.020411491394043,19,0.006601810455322266,0.9984469413757324,0.9856341481208801,0.9922359585762024,5086.056640625,-86.05651092529297,86.05651092529297
38,102,19,eipu,9.39059066772461,19,8.350610733032227e-05,1.0,0.9954015612602234,0.9954850673675537,5057.1787109375,-57.17863464355469,57.17863464355469
39,106,19,eipu,27.63102149963379,19,0.0,1.0,0.9942517280578613,0.9942517280578613,5014.62548828125,-14.625289916992188,14.625289916992188
40,113,19,eipu,6.4661102294921875,19,0.0015552639961242676,0.9937863945960999,0.9911766648292542,0.9927319288253784,5000.53271484375,-0.5326690673828125,0.5326690673828125
41,132,19,eipu,6.009459972381592,19,0.002455413341522217,0.9798150062561035,0.9920997023582458,0.9945551156997681,5096.4482421875,-96.447998046875,96.447998046875
42,232,19,eipu,27.63102149963379,19,0.0,0.9824132323265076,0.9953749775886536,0.9953749775886536,5016.72021484375,-16.72016143798828,16.72016143798828
43,2,20,eipu,5.092649936676025,20,0.006141722202301025,0.9908266067504883,0.9883261322975159,0.9944678544998169,5058.263671875,-58.26348876953125,58.26348876953125
44,114,20,eipu,6.231057643890381,20,0.0019673705101013184,0.9986189603805542,0.9908100366592407,0.992777407169342,5109.4833984375,-109.48361206054688,109.48361206054688
45,157,20,eipu,4.7974700927734375,20,0.008250594139099121,0.9931488037109375,0.9866423010826111,0.9948928952217102,5029.55712890625,-29.557235717773438,29.557235717773438
46,159,20,eipu,27.63102149963379,20,0.0,1.0,0.991808295249939,0.991808295249939,5019.64501953125,-19.645233154296875,19.645233154296875
47,176,20,eipu,27.63102149963379,20,0.0,0.9887580871582031,0.9945172071456909,0.9945172071456909,5574.5908203125,-574.5909423828125,574.5909423828125
48,229,20,eipu,4.977554798126221,20,0.00689089298248291,0.9988296031951904,0.9874631762504578,0.9943540692329407,5337.14208984375,-337.14227294921875,337.14227294921875
49,10,21,eipu,4.776821136474609,21,0.00842273235321045,0.996431291103363,0.9863600730895996,0.9947828054428101,5559.818359375,-559.8185424804688,559.8185424804688
50,50,21,eipu,6.7044782638549805,21,0.0012254118919372559,0.9898309111595154,0.9908667206764221,0.9920921325683594,5116.93896484375,-116.93881225585938,116.93881225585938
51,88,21,eipu,27.63102149963379,21,0.0,0.9943137168884277,0.9952648878097534,0.9952648878097534,5060.66015625,-60.6600341796875,60.6600341796875
52,140,21,eipu,5.829629898071289,21,0.002939164638519287,1.0,0.9926978349685669,0.9956369996070862,5000.24755859375,-0.2473602294921875,0.2473602294921875
53,160,21,eipu,7.5756659507751465,21,0.0005127787590026855,1.0,0.995469868183136,0.9959826469421387,5002.29541015625,-2.2953567504882812,2.2953567504882812
54,164,21,eipu,6.7982378005981445,21,0.0011157393455505371,0.9961603879928589,0.994259238243103,0.9953749775886536,5058.88037109375,-58.88047790527344,58.88047790527344
55,172,21,eipu,27.63102149963379,21,0.0,0.9925788640975952,0.9929818511009216,0.9929818511009216,5072.60205078125,-72.60200500488281,72.60200500488281
56,179,21,eipu,5.818437576293945,21,0.002972245216369629,1.0,0.9910594820976257,0.9940317273139954,5155.212890625,-155.21292114257812,155.21292114257812
57,197,21,eipu,27.63102149963379,21,0.0,0.9929106831550598,0.9956369996070862,0.9956369996070862,5052.32470703125,-52.3245849609375,52.3245849609375
58,226,21,eipu,4.98740291595459,21,0.006823360919952393,0.9802437424659729,0.9875572919845581,0.9943806529045105,5001.0302734375,-1.0304641723632812,1.0304641723632812
