episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
0,63,8,argmax,27.63102149963379,8,0.0,0.9938248991966248,0.995686411857605,0.995686411857605,5020.41845703125,-20.418411254882812,20.418411254882812
1,146,8,argmax,27.63102149963379,8,0.0,0.9983801245689392,0.994957447052002,0.994957447052002,5674.6083984375,-674.608642578125,674.608642578125
2,237,8,argmax,5.770666122436523,8,0.003117680549621582,0.9883926510810852,0.989072859287262,0.9921905398368835,5160.685546875,-160.6856689453125,160.6856689453125
3,33,9,argmax,27.63102149963379,9,0.0,0.9966426491737366,0.995124340057373,0.995124340057373,5556.5830078125,-556.5828857421875,556.5828857421875
4,233,9,argmax,4.8510847091674805,9,0.007819890975952148,0.9774935245513916,0.9830694794654846,0.9908893704414368,5470.9052734375,-470.9053955078125,470.9053955078125
5,81,10,argmax,6.3214592933654785,10,0.001797318458557129,0.9986497759819031,0.9930917620658875,0.9948890805244446,5045.22216796875,-45.222381591796875,45.222381591796875
6,142,10,argmax,27.63102149963379,10,0.0,0.9803170561790466,0.9892465472221375,0.9892465472221375,5453.27490234375,-453.2750244140625,453.2750244140625
7,219,10,argmax,5.080438613891602,10,0.00621718168258667,0.9895527362823486,0.9882544875144958,0.9944716691970825,5095.3759765625,-95.37593078613281,95.37593078613281
8,69,11,argmax,5.057971477508545,11,0.006358444690704346,0.9995166063308716,0.9878097772598267,0.994168221950531,5009.2998046875,-9.2998046875,9.2998046875
9,97,11,argmax,27.63102149963379,11,0.0,1.0,0.9959636926651001,0.9959636926651001,5167.4912109375,-167.49130249023438,167.49130249023438
10,112,11,argmax,27.63102149963379,11,0.0,0.9966737627983093,0.992398738861084,0.992398738861084,5598.982421875,-598.9823608398438,598.9823608398438
11,185,11,argmax,7.235232830047607,11,0.0007207393646240234,1.0,0.9941341280937195,0.9948548674583435,5277.015625,-277.0155029296875,277.0155029296875
12,206,11,argmax,4.737364768981934,11,0.008761703968048096,0.9962030649185181,0.9873577356338501,0.9961194396018982,5353.35595703125,-353.35614013671875,353.35614013671875
13,255,11,argmax,27.63102149963379,11,0.0,1.0,0.9933872818946838,0.9933872818946838,5789.1865234375,-789.1864013671875,789.1864013671875
14,15,12,argmax,4.5575432777404785,12,0.010487794876098633,0.9832639694213867,0.9823009967803955,0.9927887916564941,5165.87939453125,-165.87936401367188,165.87936401367188
15,116,12,argmax,27.63102149963379,12,0.0,1.0,0.9933229088783264,0.9933229088783264,5190.4599609375,-190.4598388671875,190.4598388671875
16,149,12,argmax,5.227156639099121,12,0.00536876916885376,0.9938670992851257,0.988446831703186,0.9938156008720398,5388.44921875,-388.448974609375,388.448974609375
17,204,12,argmax,3.691523313522339,12,0.024933993816375732,0.9825800061225891,0.9687185883522034,0.9936525821685791,5248.23388671875,-248.2340087890625,248.2340087890625
18,17,13,argmax,5.943996429443359,13,0.0026215314865112305,0.9790175557136536,0.9903566241264343,0.9929781556129456,5033.8115234375,-33.811553955078125,33.811553955078125
